AsAt,Occupation,Score,n,maxsub
12/2025,233512 Mechanical Engineer,45,5,46022.63324174769
12/2025,233999 Engineering Professionals nec,65,71,46003.557012233796
12/2025,233999 Engineering Professionals nec,75,88,46022.56470332176
12/2025,233999 Engineering Professionals nec,70,84,46021.574841898146
12/2025,233999 Engineering Professionals nec,80,84,46003.689778935186
12/2025,233999 Engineering Professionals nec,95,24,45979.49626724537
12/2025,233999 Engineering Professionals nec,90,55,46021.32519209491
12/2025,233999 Engineering Professionals nec,85,114,46014.24008341435
12/2025,233999 Engineering Professionals nec,55,8,46002.90339359954
12/2025,233999 Engineering Professionals nec,60,11,45960.798640821755
12/2025,233999 Engineering Professionals nec,50,2,45904.52256385417
12/2025,233999 Engineering Professionals nec,100,3,45723.70032665509
12/2025,233999 Engineering Professionals nec,40,1,45774.72333059028
12/2025,234111 Agricultural Consultant,65,78,46012.265582673615
12/2025,234111 Agricultural Consultant,75,53,46009.96588804398
12/2025,234111 Agricultural Consultant,70,58,46021.08345883102
12/2025,234111 Agricultural Consultant,80,42,46008.54725413195
12/2025,234111 Agricultural Consultant,95,1,46005.870924965275
12/2025,234111 Agricultural Consultant,90,1,45342.53194609954
12/2025,234111 Agricultural Consultant,85,6,45971.76721774306
12/2025,234111 Agricultural Consultant,55,11,45965.91682179398
12/2025,234111 Agricultural Consultant,60,16,46021.501880868054
12/2025,234111 Agricultural Consultant,50,2,45715.503162037036
12/2025,234111 Agricultural Consultant,45,1,45789.085624768515
12/2025,254418 Registered Nurse (Medical),65,188,46022.92921195602
12/2025,254418 Registered Nurse (Medical),75,70,46000.80955289352
12/2025,254418 Registered Nurse (Medical),70,133,46014.62027519676
12/2025,254418 Registered Nurse (Medical),80,8,46001.79381180555
12/2025,254418 Registered Nurse (Medical),85,2,45988.59854846065
12/2025,254418 Registered Nurse (Medical),55,17,45934.61735555556
12/2025,254418 Registered Nurse (Medical),60,43,45984.48436959491
12/2025,254418 Registered Nurse (Medical),50,3,45934.29511724537
12/2025,351311 Chef,65,753,46022.77460859954
12/2025,351311 Chef,75,633,46022.0208378125
12/2025,351311 Chef,70,811,46022.51794991898
12/2025,351311 Chef,80,362,46014.62852908565
12/2025,351311 Chef,95,26,45982.83909085648
12/2025,351311 Chef,90,96,46007.37120243056
12/2025,351311 Chef,85,186,46014.69927592593
12/2025,351311 Chef,55,50,45979.54819123843
12/2025,351311 Chef,60,148,46007.712451886575
12/2025,351311 Chef,50,21,46010.659478125
12/2025,351311 Chef,100,1,45842.89256165509
12/2025,351311 Chef,105,3,45706.760803240744
12/2025,351311 Chef,40,3,45924.01809907408
12/2025,351311 Chef,45,5,45849.730064664356
12/2025,233411 Electronics Engineer,65,197,46021.9580190625
12/2025,233411 Electronics Engineer,75,202,46014.045538969905
12/2025,233411 Electronics Engineer,70,178,46017.024527974536
12/2025,233411 Electronics Engineer,80,171,46020.904269756946
12/2025,233411 Electronics Engineer,95,20,45988.97562271991
12/2025,233411 Electronics Engineer,90,89,46020.48273993056
12/2025,233411 Electronics Engineer,85,169,46013.815310300924
12/2025,233411 Electronics Engineer,55,24,45989.786229363424
12/2025,233411 Electronics Engineer,60,57,45990.53930405092
12/2025,233411 Electronics Engineer,50,14,45996.01879725694
12/2025,233411 Electronics Engineer,100,5,45964.02703229166
12/2025,233411 Electronics Engineer,45,3,45847.726243206016
12/2025,233411 Electronics Engineer,25,1,45967.730278090276
12/2025,323212 Fitter and Turner,70,1,45764.842594409725
12/2025,323212 Fitter and Turner,55,1,45926.97070100695
12/2025,261112 Systems Analyst,65,232,46012.12897248843
12/2025,261112 Systems Analyst,75,423,46018.010114502315
12/2025,261112 Systems Analyst,70,288,46011.91883487269
12/2025,261112 Systems Analyst,80,398,46021.80631180556
12/2025,261112 Systems Analyst,95,228,46006.81252334491
12/2025,261112 Systems Analyst,90,489,46014.99518356482
12/2025,261112 Systems Analyst,85,427,46019.91000725694
12/2025,261112 Systems Analyst,55,15,45971.96657878472
12/2025,261112 Systems Analyst,60,30,45995.80578703704
12/2025,261112 Systems Analyst,50,3,45973.72777596065
12/2025,261112 Systems Analyst,100,75,46004.73879123843
12/2025,261112 Systems Analyst,105,2,45877.93767048611
12/2025,233912 Agricultural Engineer,65,18,45991.9550349537
12/2025,233912 Agricultural Engineer,75,10,45986.9414127662
12/2025,233912 Agricultural Engineer,70,7,45889.861740740744
12/2025,233912 Agricultural Engineer,80,5,45766.696315277775
12/2025,233912 Agricultural Engineer,95,1,45586.77077700231
12/2025,233912 Agricultural Engineer,90,1,45477.26657395833
12/2025,233912 Agricultural Engineer,85,6,45964.788276273146
12/2025,233912 Agricultural Engineer,55,1,45678.97920775463
12/2025,233912 Agricultural Engineer,60,2,45922.94162121528
12/2025,233912 Agricultural Engineer,105,1,45633.83317515046
12/2025,263111 Computer Network and Systems Engineer,65,212,46022.93063888889
12/2025,263111 Computer Network and Systems Engineer,75,404,46012.95422638889
12/2025,263111 Computer Network and Systems Engineer,70,251,46021.68681241898
12/2025,263111 Computer Network and Systems Engineer,80,288,46010.81807835648
12/2025,263111 Computer Network and Systems Engineer,95,140,46020.85145173611
12/2025,263111 Computer Network and Systems Engineer,90,280,46020.66655879629
12/2025,263111 Computer Network and Systems Engineer,85,284,46015.87212299769
12/2025,263111 Computer Network and Systems Engineer,55,24,45983.423360416666
12/2025,263111 Computer Network and Systems Engineer,60,47,45997.46325339121
12/2025,263111 Computer Network and Systems Engineer,50,3,45685.474629317134
12/2025,263111 Computer Network and Systems Engineer,100,53,45992.61504664352
12/2025,263111 Computer Network and Systems Engineer,40,1,45552.13451230324
12/2025,263111 Computer Network and Systems Engineer,45,1,45785.72973391204
12/2025,263111 Computer Network and Systems Engineer,30,1,45946.531965625
12/2025,234211 Chemist,65,52,46017.7869139699
12/2025,234211 Chemist,75,64,46020.581795983795
12/2025,234211 Chemist,70,48,46017.94340471065
12/2025,234211 Chemist,80,38,46009.48078515046
12/2025,234211 Chemist,90,1,45995.89170146991
12/2025,234211 Chemist,85,13,45986.72086554398
12/2025,234211 Chemist,55,5,45980.68899884259
12/2025,234211 Chemist,60,13,45990.22804957176
12/2025,234211 Chemist,50,2,45906.83104016204
12/2025,271311 Solicitor,65,34,46009.78225416667
12/2025,271311 Solicitor,75,63,46013.62984270833
12/2025,271311 Solicitor,70,64,46011.64771331019
12/2025,271311 Solicitor,80,85,46017.6226130787
12/2025,271311 Solicitor,95,2,46005.930158483796
12/2025,271311 Solicitor,90,6,45995.51487951389
12/2025,271311 Solicitor,85,47,46006.585322534724
12/2025,271311 Solicitor,55,3,45993.81306408565
12/2025,271311 Solicitor,60,12,45977.7573806713
12/2025,271311 Solicitor,50,1,45570.23593244213
12/2025,271311 Solicitor,45,2,45974.79804444444
12/2025,233111 Chemical Engineer,65,87,46013.89975795139
12/2025,233111 Chemical Engineer,75,117,46015.92307986111
12/2025,233111 Chemical Engineer,70,114,46015.77058622685
12/2025,233111 Chemical Engineer,80,116,46010.679258599535
12/2025,233111 Chemical Engineer,90,7,46017.69446334491
12/2025,233111 Chemical Engineer,85,37,46014.141857835646
12/2025,233111 Chemical Engineer,55,10,45929.868313113424
12/2025,233111 Chemical Engineer,60,14,45977.05571177084
12/2025,233111 Chemical Engineer,50,2,45921.125258217595
12/2025,233111 Chemical Engineer,100,1,46008.863471840275
12/2025,233111 Chemical Engineer,40,1,45892.695323148146
12/2025,233111 Chemical Engineer,45,1,45958.59726883102
12/2025,233914 Engineering Technologist,65,386,46017.86362048611
12/2025,233914 Engineering Technologist,75,459,46016.83269027778
12/2025,233914 Engineering Technologist,70,457,46022.529192905095
12/2025,233914 Engineering Technologist,80,391,46021.44163880787
12/2025,233914 Engineering Technologist,95,63,45997.78336785879
12/2025,233914 Engineering Technologist,90,231,46021.75801921296
12/2025,233914 Engineering Technologist,85,387,46019.01739795139
12/2025,233914 Engineering Technologist,55,49,46002.88546215278
12/2025,233914 Engineering Technologist,60,96,46021.76664537037
12/2025,233914 Engineering Technologist,50,15,45994.063824108795
12/2025,233914 Engineering Technologist,100,12,45972.877322835644
12/2025,233914 Engineering Technologist,105,2,45950.6136440625
12/2025,233914 Engineering Technologist,40,1,45842.65565107639
12/2025,233914 Engineering Technologist,45,3,45955.64725381944
12/2025,233914 Engineering Technologist,30,1,46004.84164690972
12/2025,312312 Electrical Engineering Technician,65,42,46008.62448564815
12/2025,312312 Electrical Engineering Technician,75,32,46001.92772334491
12/2025,312312 Electrical Engineering Technician,70,29,46021.588244212966
12/2025,312312 Electrical Engineering Technician,80,16,45970.75188668982
12/2025,312312 Electrical Engineering Technician,90,11,46021.87769274306
12/2025,312312 Electrical Engineering Technician,85,24,46021.90033908565
12/2025,312312 Electrical Engineering Technician,55,4,45630.91429502315
12/2025,312312 Electrical Engineering Technician,60,12,45937.971834641205
12/2025,312312 Electrical Engineering Technician,40,1,45974.842356712965
12/2025,233913 Biomedical Engineer,65,36,46004.99208788195
12/2025,233913 Biomedical Engineer,75,37,45998.96137642361
12/2025,233913 Biomedical Engineer,70,37,46022.70019189815
12/2025,233913 Biomedical Engineer,80,47,46022.67224849537
12/2025,233913 Biomedical Engineer,95,3,45645.733891006945
12/2025,233913 Biomedical Engineer,90,25,46014.716217824076
12/2025,233913 Biomedical Engineer,85,37,46021.53508174769
12/2025,233913 Biomedical Engineer,55,6,45862.74711134259
12/2025,233913 Biomedical Engineer,60,8,46001.722291666665
12/2025,233913 Biomedical Engineer,50,2,45610.45206924769
12/2025,233913 Biomedical Engineer,100,4,45978.78947971065
12/2025,233913 Biomedical Engineer,105,1,45606.52658113426
12/2025,233913 Biomedical Engineer,45,1,45874.6972596412
12/2025,221214 Internal Auditor,65,61,46020.93750315972
12/2025,221214 Internal Auditor,75,44,46020.66097936343
12/2025,221214 Internal Auditor,70,45,46000.63219270833
12/2025,221214 Internal Auditor,80,37,45975.00483533565
12/2025,221214 Internal Auditor,95,6,45796.89445119213
12/2025,221214 Internal Auditor,90,16,45974.4478818287
12/2025,221214 Internal Auditor,85,39,45974.71627762732
12/2025,221214 Internal Auditor,55,5,45677.98020200231
12/2025,221214 Internal Auditor,60,10,45854.373563229165
12/2025,221214 Internal Auditor,100,2,45603.60894780092
12/2025,221214 Internal Auditor,45,1,45574.86311643518
12/2025,323211 Fitter (General),65,22,46012.04135092592
12/2025,323211 Fitter (General),75,16,45959.16829934028
12/2025,323211 Fitter (General),70,20,45981.653555937504
12/2025,323211 Fitter (General),80,6,45923.654292974534
12/2025,323211 Fitter (General),85,1,45918.5292875
12/2025,323211 Fitter (General),55,2,45875.66405162037
12/2025,323211 Fitter (General),60,6,45985.53213896991
12/2025,323211 Fitter (General),50,2,45930.6869996875
12/2025,323211 Fitter (General),40,1,45904.36619170139
12/2025,261399 Software and Applications Programmers nec,65,164,46022.90855980324
12/2025,261399 Software and Applications Programmers nec,75,296,46009.10579803241
12/2025,261399 Software and Applications Programmers nec,70,225,46013.92561828704
12/2025,261399 Software and Applications Programmers nec,80,274,46014.90812126157
12/2025,261399 Software and Applications Programmers nec,95,255,46022.853753125004
12/2025,261399 Software and Applications Programmers nec,90,449,46021.00487418981
12/2025,261399 Software and Applications Programmers nec,85,324,46014.72728626157
12/2025,261399 Software and Applications Programmers nec,55,13,45967.99411947917
12/2025,261399 Software and Applications Programmers nec,60,24,45974.10912179398
12/2025,261399 Software and Applications Programmers nec,50,3,46007.93940570602
12/2025,261399 Software and Applications Programmers nec,110,1,45616.949313391204
12/2025,261399 Software and Applications Programmers nec,100,128,46001.7046491088
12/2025,261399 Software and Applications Programmers nec,105,24,45969.04940625
12/2025,261399 Software and Applications Programmers nec,45,1,45889.05836689815
12/2025,233513 Production or Plant Engineer,65,58,45995.5843778125
12/2025,233513 Production or Plant Engineer,75,66,46010.526996493056
12/2025,233513 Production or Plant Engineer,70,59,46022.1916596875
12/2025,233513 Production or Plant Engineer,80,56,46022.013546180555
12/2025,233513 Production or Plant Engineer,95,5,45881.769241435184
12/2025,233513 Production or Plant Engineer,90,19,46007.71832774306
12/2025,233513 Production or Plant Engineer,85,41,45972.671711539355
12/2025,233513 Production or Plant Engineer,55,14,45992.93449085648
12/2025,233513 Production or Plant Engineer,60,13,45962.96029502315
12/2025,233513 Production or Plant Engineer,50,2,45936.254335729165
12/2025,233513 Production or Plant Engineer,40,1,45560.7808008912
12/2025,233311 Electrical Engineer,65,287,46020.76187511574
12/2025,233311 Electrical Engineer,75,355,46017.700597916664
12/2025,233311 Electrical Engineer,70,322,46021.00591493056
12/2025,233311 Electrical Engineer,80,305,46013.61444027778
12/2025,233311 Electrical Engineer,95,42,45973.95286994213
12/2025,233311 Electrical Engineer,90,124,46022.615088391205
12/2025,233311 Electrical Engineer,85,235,46018.944792442126
12/2025,233311 Electrical Engineer,55,31,45974.19993831019
12/2025,233311 Electrical Engineer,60,90,46022.06803869213
12/2025,233311 Electrical Engineer,50,6,45953.9106215625
12/2025,233311 Electrical Engineer,100,11,45893.88432253472
12/2025,233311 Electrical Engineer,105,1,45843.66417754629
12/2025,233311 Electrical Engineer,45,7,45838.6091108449
12/2025,232111 Architect,65,73,46009.52333966435
12/2025,232111 Architect,75,122,46007.5377329051
12/2025,232111 Architect,70,122,46010.75680153935
12/2025,232111 Architect,80,98,46017.54626820602
12/2025,232111 Architect,90,2,45895.97771898148
12/2025,232111 Architect,85,46,46011.740096643516
12/2025,232111 Architect,55,2,45707.80296674769
12/2025,232111 Architect,60,18,45994.60603703704
12/2025,234212 Food Technologist,65,44,46009.82999841435
12/2025,234212 Food Technologist,75,56,46011.89436721065
12/2025,234212 Food Technologist,70,60,46017.00879826389
12/2025,234212 Food Technologist,80,54,46011.10277106481
12/2025,234212 Food Technologist,90,5,46011.05729791667
12/2025,234212 Food Technologist,85,21,46002.765298530096
12/2025,234212 Food Technologist,55,8,45929.63878260417
12/2025,234212 Food Technologist,60,15,46021.92880775463
12/2025,234212 Food Technologist,50,2,45822.57111762732
12/2025,234212 Food Technologist,100,1,45979.996586724534
12/2025,221112 Management Accountant,65,77,46022.73496354167
12/2025,221112 Management Accountant,75,133,46014.88515462963
12/2025,221112 Management Accountant,70,146,46022.72789074074
12/2025,221112 Management Accountant,80,120,46002.720539201386
12/2025,221112 Management Accountant,95,31,46021.87540146991
12/2025,221112 Management Accountant,90,72,46021.61535659722
12/2025,221112 Management Accountant,85,135,46022.75824047453
12/2025,221112 Management Accountant,55,5,45784.7998599537
12/2025,221112 Management Accountant,60,17,45953.615396678244
12/2025,221112 Management Accountant,100,12,46001.02765300926
12/2025,221112 Management Accountant,105,1,45728.85330153935
12/2025,221112 Management Accountant,45,2,45979.96790887731
12/2025,312311 Electrical Engineering Draftsperson,65,7,46009.95479618055
12/2025,312311 Electrical Engineering Draftsperson,75,7,45944.86989116898
12/2025,312311 Electrical Engineering Draftsperson,70,9,46013.852262534725
12/2025,312311 Electrical Engineering Draftsperson,80,1,45559.725057986114
12/2025,312311 Electrical Engineering Draftsperson,85,2,45903.77469355324
12/2025,312311 Electrical Engineering Draftsperson,55,1,45559.67003429398
12/2025,312311 Electrical Engineering Draftsperson,60,2,45972.70261195602
12/2025,224711 Management Consultant,65,25,46021.84746038195
12/2025,224711 Management Consultant,75,56,45998.91809467593
12/2025,224711 Management Consultant,70,36,46007.888479594905
12/2025,224711 Management Consultant,80,70,46010.85590081019
12/2025,224711 Management Consultant,90,7,46007.69880413194
12/2025,224711 Management Consultant,85,34,46020.47360358796
12/2025,224711 Management Consultant,55,2,45986.05753715278
12/2025,224711 Management Consultant,60,7,45990.6520159375
12/2025,224711 Management Consultant,50,1,45851.95322361111
12/2025,234711 Veterinarian,65,12,46002.819259027776
12/2025,234711 Veterinarian,75,17,45900.20987820602
12/2025,234711 Veterinarian,70,4,45995.607650578706
12/2025,234711 Veterinarian,80,20,46007.572715625
12/2025,234711 Veterinarian,90,1,45943.71505462963
12/2025,234711 Veterinarian,85,16,45973.55841157408
12/2025,234711 Veterinarian,55,1,45929.49714366898
12/2025,241411 Secondary School Teacher,65,163,46019.67753931713
12/2025,241411 Secondary School Teacher,75,173,46022.55026045139
12/2025,241411 Secondary School Teacher,70,218,46017.39296311342
12/2025,241411 Secondary School Teacher,80,42,46017.016431828706
12/2025,241411 Secondary School Teacher,85,16,46016.99707457176
12/2025,241411 Secondary School Teacher,55,6,45965.29699560185
12/2025,241411 Secondary School Teacher,60,23,45971.379816203706
12/2025,241411 Secondary School Teacher,50,3,45940.707414351855
12/2025,134111 Child Care Centre Manager,65,2,45944.759761724534
12/2025,134111 Child Care Centre Manager,70,7,45960.913000775465
12/2025,134111 Child Care Centre Manager,60,1,45488.58068591435
12/2025,224111 Actuary,65,6,46001.43469675926
12/2025,224111 Actuary,75,17,46017.061389814815
12/2025,224111 Actuary,70,14,45972.980933252315
12/2025,224111 Actuary,80,25,45974.72234826389
12/2025,224111 Actuary,90,2,45992.82790798611
12/2025,224111 Actuary,85,13,46013.974405636574
12/2025,224111 Actuary,60,1,45795.72160413195
12/2025,224111 Actuary,40,1,45833.515822534726
12/2025,333111 Glazier,75,1,46000.77976855324
12/2025,333111 Glazier,60,1,45782.53001041667
12/2025,242111 University Lecturer,65,180,46010.89018769676
12/2025,242111 University Lecturer,75,189,46021.723122800926
12/2025,242111 University Lecturer,70,174,46022.49046458333
12/2025,242111 University Lecturer,80,152,46013.85978854167
12/2025,242111 University Lecturer,95,26,46022.87452646991
12/2025,242111 University Lecturer,90,66,46013.58378715278
12/2025,242111 University Lecturer,85,92,46009.68207549769
12/2025,242111 University Lecturer,55,15,46013.23846936342
12/2025,242111 University Lecturer,60,48,45971.48170952546
12/2025,242111 University Lecturer,50,4,45973.92880289352
12/2025,242111 University Lecturer,100,10,46007.755789849536
12/2025,242111 University Lecturer,105,6,45990.16867997685
12/2025,242111 University Lecturer,45,2,46001.72595162037
12/2025,263312 Telecommunications Network Engineer,65,32,46009.541788738425
12/2025,263312 Telecommunications Network Engineer,75,29,46009.73055436343
12/2025,263312 Telecommunications Network Engineer,70,27,46020.72450015046
12/2025,263312 Telecommunications Network Engineer,80,20,45984.050602048614
12/2025,263312 Telecommunications Network Engineer,95,1,45881.88150914352
12/2025,263312 Telecommunications Network Engineer,90,12,45968.69752248842
12/2025,263312 Telecommunications Network Engineer,85,25,46007.9750178588
12/2025,263312 Telecommunications Network Engineer,55,3,45831.852759375004
12/2025,263312 Telecommunications Network Engineer,60,2,45402.82929594907
12/2025,133211 Engineering Manager,65,52,45995.69495413195
12/2025,133211 Engineering Manager,75,51,46013.93179537037
12/2025,133211 Engineering Manager,70,47,45984.88481021991
12/2025,133211 Engineering Manager,80,16,45970.04889965278
12/2025,133211 Engineering Manager,85,5,46009.031525
12/2025,133211 Engineering Manager,55,14,45977.696330983796
12/2025,133211 Engineering Manager,60,10,46021.84213503472
12/2025,133211 Engineering Manager,50,1,45675.90780347222
12/2025,133211 Engineering Manager,40,1,45700.34612002315
12/2025,133211 Engineering Manager,45,2,45913.734878090276
12/2025,233213 Quantity Surveyor,65,71,46002.988543287036
12/2025,233213 Quantity Surveyor,75,109,46002.72547372685
12/2025,233213 Quantity Surveyor,70,98,46002.72231003472
12/2025,233213 Quantity Surveyor,80,79,46009.544311770835
12/2025,233213 Quantity Surveyor,95,1,45825.64077442129
12/2025,233213 Quantity Surveyor,90,13,45994.907033564814
12/2025,233213 Quantity Surveyor,85,62,46014.40016064815
12/2025,233213 Quantity Surveyor,55,7,45941.39056053241
12/2025,233213 Quantity Surveyor,60,22,46002.92567881945
12/2025,233213 Quantity Surveyor,50,2,45925.88601362269
12/2025,233213 Quantity Surveyor,40,2,45693.79192858796
12/2025,234599 Life Scientists nec,65,4,45998.7515090625
12/2025,234599 Life Scientists nec,75,6,45887.18734895834
12/2025,234599 Life Scientists nec,70,6,45821.72264502315
12/2025,234599 Life Scientists nec,80,6,45989.62198576389
12/2025,234599 Life Scientists nec,90,1,45996.35350038194
12/2025,234599 Life Scientists nec,85,4,45999.64502152778
12/2025,234599 Life Scientists nec,55,1,45673.83967584491
12/2025,234599 Life Scientists nec,50,1,45812.9189133912
12/2025,254422 Registered Nurse (Mental Health),65,22,46011.79665471065
12/2025,254422 Registered Nurse (Mental Health),75,29,45987.56109120371
12/2025,254422 Registered Nurse (Mental Health),70,37,46007.68617731481
12/2025,254422 Registered Nurse (Mental Health),80,2,45975.61645674768
12/2025,254422 Registered Nurse (Mental Health),55,3,45861.93375239583
12/2025,254422 Registered Nurse (Mental Health),60,3,45996.58910243055
12/2025,254422 Registered Nurse (Mental Health),45,1,45969.209307094905
12/2025,312211 Civil Engineering Draftsperson,65,518,46020.788784143515
12/2025,312211 Civil Engineering Draftsperson,75,483,46021.77858599537
12/2025,312211 Civil Engineering Draftsperson,70,612,46017.79479641204
12/2025,312211 Civil Engineering Draftsperson,80,298,46013.43914001157
12/2025,312211 Civil Engineering Draftsperson,95,2,45982.42772195602
12/2025,312211 Civil Engineering Draftsperson,90,7,46010.50936859954
12/2025,312211 Civil Engineering Draftsperson,85,72,46010.61333741898
12/2025,312211 Civil Engineering Draftsperson,55,64,46012.76216759259
12/2025,312211 Civil Engineering Draftsperson,60,136,46021.030831828706
12/2025,312211 Civil Engineering Draftsperson,50,18,46020.66911365741
12/2025,312211 Civil Engineering Draftsperson,45,5,45926.75287253472
12/2025,321212 Diesel Motor Mechanic,65,15,45972.8645246875
12/2025,321212 Diesel Motor Mechanic,75,11,45957.87862103009
12/2025,321212 Diesel Motor Mechanic,70,7,46001.0659943287
12/2025,321212 Diesel Motor Mechanic,80,6,45992.62723306713
12/2025,321212 Diesel Motor Mechanic,95,1,45778.77790922453
12/2025,321212 Diesel Motor Mechanic,90,1,45632.64639756944
12/2025,321212 Diesel Motor Mechanic,55,1,45736.75811311343
12/2025,321212 Diesel Motor Mechanic,60,2,45953.62793769676
12/2025,321212 Diesel Motor Mechanic,50,1,45785.55013371528
12/2025,234511 Life Scientist (General),65,18,46010.97966631944
12/2025,234511 Life Scientist (General),75,12,45983.77002372685
12/2025,234511 Life Scientist (General),70,16,45949.95891261574
12/2025,234511 Life Scientist (General),80,16,46003.06452569444
12/2025,234511 Life Scientist (General),95,1,45995.51824556713
12/2025,234511 Life Scientist (General),90,2,45983.58590204861
12/2025,234511 Life Scientist (General),85,8,45988.37755188657
12/2025,234511 Life Scientist (General),55,3,45821.90263052083
12/2025,234511 Life Scientist (General),60,8,45982.23324579861
12/2025,234511 Life Scientist (General),50,1,45606.06451087963
12/2025,234511 Life Scientist (General),100,2,45991.646902928245
12/2025,254423 Registered Nurse (Perioperative),65,51,46022.31523232639
12/2025,254423 Registered Nurse (Perioperative),75,16,46013.50813715278
12/2025,254423 Registered Nurse (Perioperative),70,50,46009.50733275463
12/2025,254423 Registered Nurse (Perioperative),80,2,45989.81378113426
12/2025,254423 Registered Nurse (Perioperative),85,1,45990.813381712964
12/2025,254423 Registered Nurse (Perioperative),55,5,46007.835841319444
12/2025,254423 Registered Nurse (Perioperative),60,5,45892.910973460646
12/2025,254423 Registered Nurse (Perioperative),50,1,45681.96098221065
12/2025,233212 Geotechnical Engineer,65,14,45973.00542630787
12/2025,233212 Geotechnical Engineer,75,27,46008.55445520833
12/2025,233212 Geotechnical Engineer,70,21,45959.75538645833
12/2025,233212 Geotechnical Engineer,80,23,45981.84581380787
12/2025,233212 Geotechnical Engineer,95,1,45835.41512954861
12/2025,233212 Geotechnical Engineer,90,3,45737.80328364583
12/2025,233212 Geotechnical Engineer,85,12,46010.70397376157
12/2025,233212 Geotechnical Engineer,60,4,45889.81179421296
12/2025,233212 Geotechnical Engineer,50,1,45743.888051076385
12/2025,232212 Surveyor,65,28,45921.21891292824
12/2025,232212 Surveyor,75,18,45942.793354664354
12/2025,232212 Surveyor,70,15,45865.5118658912
12/2025,232212 Surveyor,80,10,45941.22298518519
12/2025,232212 Surveyor,55,2,45921.28920940972
12/2025,232212 Surveyor,60,3,45949.1992278588
12/2025,254499 Registered Nurses nec,65,578,46021.34982523148
12/2025,254499 Registered Nurses nec,75,584,46020.6453127662
12/2025,254499 Registered Nurses nec,70,900,46018.794211342596
12/2025,254499 Registered Nurses nec,80,98,46020.94138579861
12/2025,254499 Registered Nurses nec,90,6,46014.054349074075
12/2025,254499 Registered Nurses nec,85,39,46019.88630439815
12/2025,254499 Registered Nurses nec,55,33,46010.713025150464
12/2025,254499 Registered Nurses nec,60,83,46013.7000119213
12/2025,254499 Registered Nurses nec,50,5,46009.43045798611
12/2025,254499 Registered Nurses nec,45,2,45680.5811224537
12/2025,221113 Taxation Accountant,65,83,46006.806795682875
12/2025,221113 Taxation Accountant,75,155,46009.75247133102
12/2025,221113 Taxation Accountant,70,178,46009.965197453705
12/2025,221113 Taxation Accountant,80,155,45998.7432443287
12/2025,221113 Taxation Accountant,95,44,45972.41212476852
12/2025,221113 Taxation Accountant,90,115,46013.806665509255
12/2025,221113 Taxation Accountant,85,177,46009.96744756945
12/2025,221113 Taxation Accountant,55,3,45993.74093707176
12/2025,221113 Taxation Accountant,60,13,45938.67213457176
12/2025,221113 Taxation Accountant,50,1,45973.03416099537
12/2025,221113 Taxation Accountant,100,14,45966.60153329861
12/2025,323313 Locksmith,75,1,45941.60144950231
12/2025,323313 Locksmith,70,2,45954.4167303588
12/2025,323313 Locksmith,55,1,45773.05278753472
12/2025,224512 Valuer,65,4,45906.70335447916
12/2025,224512 Valuer,75,10,45936.52189024306
12/2025,224512 Valuer,70,10,45947.76620697917
12/2025,224512 Valuer,80,13,45982.7944477662
12/2025,224512 Valuer,90,1,45454.70665304398
12/2025,224512 Valuer,85,3,46000.822494479165
12/2025,224512 Valuer,60,2,45593.74610471065
12/2025,224512 Valuer,30,1,45972.71963576389
12/2025,261311 Analyst Programmer,65,198,46018.7381591088
12/2025,261311 Analyst Programmer,75,382,46021.88363556713
12/2025,261311 Analyst Programmer,70,269,46015.9302369213
12/2025,261311 Analyst Programmer,80,418,46017.781259641204
12/2025,261311 Analyst Programmer,95,295,46011.680017280094
12/2025,261311 Analyst Programmer,90,611,46021.003434178245
12/2025,261311 Analyst Programmer,85,474,46016.64230251157
12/2025,261311 Analyst Programmer,55,16,45972.66630038194
12/2025,261311 Analyst Programmer,60,44,46020.987992939816
12/2025,261311 Analyst Programmer,50,5,45829.91971469908
12/2025,261311 Analyst Programmer,100,67,46001.70064375
12/2025,261311 Analyst Programmer,105,7,45969.7230258912
12/2025,261311 Analyst Programmer,45,1,45673.855015243054
12/2025,234516 Marine Biologist,65,2,45952.0642496875
12/2025,234516 Marine Biologist,75,6,46010.48117465278
12/2025,234516 Marine Biologist,80,4,45914.540442557874
12/2025,234516 Marine Biologist,85,2,45565.505812766205
12/2025,234516 Marine Biologist,60,2,45967.4705090625
12/2025,233215 Transport Engineer,65,27,46020.85646724537
12/2025,233215 Transport Engineer,75,26,45997.95186423611
12/2025,233215 Transport Engineer,70,21,46008.80657954861
12/2025,233215 Transport Engineer,80,21,46014.78075582176
12/2025,233215 Transport Engineer,90,2,45647.68783278935
12/2025,233215 Transport Engineer,85,18,46014.613992094906
12/2025,233215 Transport Engineer,55,3,45819.54115065972
12/2025,233215 Transport Engineer,60,1,45627.028134409724
12/2025,233215 Transport Engineer,50,1,45855.968283298615
12/2025,233214 Structural Engineer,65,65,46020.55128506944
12/2025,233214 Structural Engineer,75,73,45968.75255783565
12/2025,233214 Structural Engineer,70,59,46021.69621284722
12/2025,233214 Structural Engineer,80,62,45995.64069375
12/2025,233214 Structural Engineer,95,5,46014.397422106485
12/2025,233214 Structural Engineer,90,22,46016.50593576389
12/2025,233214 Structural Engineer,85,42,46009.890925775464
12/2025,233214 Structural Engineer,55,4,46016.920354629634
12/2025,233214 Structural Engineer,60,4,45962.417499999996
