AsAt,Occupation,Score,only
09/2025,224311 Economist,75,15
09/2025,224311 Economist,70,8
09/2025,224311 Economist,80,17
09/2025,224311 Economist,95,1
09/2025,224311 Economist,90,1
09/2025,224311 Economist,85,16
09/2025,224311 Economist,55,2
09/2025,224311 Economist,60,4
09/2025,234514 Biotechnologist,65,24
09/2025,234514 Biotechnologist,75,25
09/2025,234514 Biotechnologist,70,27
09/2025,234514 Biotechnologist,80,15
09/2025,234514 Biotechnologist,95,2
09/2025,234514 Biotechnologist,90,13
09/2025,234514 Biotechnologist,85,33
09/2025,234514 Biotechnologist,55,3
09/2025,234514 Biotechnologist,60,6
09/2025,331111 Bricklayer,65,1
09/2025,331111 Bricklayer,70,1
09/2025,331111 Bricklayer,55,2
09/2025,331111 Bricklayer,60,10
09/2025,139912 Environmental Manager,65,16
09/2025,139912 Environmental Manager,75,18
09/2025,139912 Environmental Manager,70,15
09/2025,139912 Environmental Manager,80,4
09/2025,139912 Environmental Manager,90,4
09/2025,139912 Environmental Manager,85,4
09/2025,139912 Environmental Manager,55,4
09/2025,139912 Environmental Manager,60,3
09/2025,233511 Industrial Engineer,65,49
09/2025,233511 Industrial Engineer,75,56
09/2025,233511 Industrial Engineer,70,43
09/2025,233511 Industrial Engineer,80,46
09/2025,233511 Industrial Engineer,95,6
09/2025,233511 Industrial Engineer,90,24
09/2025,233511 Industrial Engineer,85,34
09/2025,233511 Industrial Engineer,55,3
09/2025,233511 Industrial Engineer,60,14
09/2025,139911 Arts Administrator or Manager,65,4
09/2025,139911 Arts Administrator or Manager,75,4
09/2025,139911 Arts Administrator or Manager,70,2
09/2025,139911 Arts Administrator or Manager,80,2
09/2025,139911 Arts Administrator or Manager,95,1
09/2025,139911 Arts Administrator or Manager,90,1
09/2025,139911 Arts Administrator or Manager,85,2
09/2025,139911 Arts Administrator or Manager,60,1
09/2025,254412 Registered Nurse (Aged Care),65,135
09/2025,254412 Registered Nurse (Aged Care),75,130
09/2025,254412 Registered Nurse (Aged Care),70,143
09/2025,254412 Registered Nurse (Aged Care),80,46
09/2025,254412 Registered Nurse (Aged Care),85,2
09/2025,254412 Registered Nurse (Aged Care),55,3
09/2025,254412 Registered Nurse (Aged Care),60,20
09/2025,254412 Registered Nurse (Aged Care),50,1
09/2025,253999 Medical Practitioners nec,65,20
09/2025,253999 Medical Practitioners nec,75,39
09/2025,253999 Medical Practitioners nec,70,37
09/2025,253999 Medical Practitioners nec,80,25
09/2025,253999 Medical Practitioners nec,95,1
09/2025,253999 Medical Practitioners nec,90,3
09/2025,253999 Medical Practitioners nec,85,8
09/2025,253999 Medical Practitioners nec,55,2
09/2025,253999 Medical Practitioners nec,60,7
09/2025,253999 Medical Practitioners nec,50,1
09/2025,234412 Geophysicist,65,3
09/2025,234412 Geophysicist,75,7
09/2025,234412 Geophysicist,70,5
09/2025,234412 Geophysicist,80,3
09/2025,234412 Geophysicist,90,1
09/2025,234412 Geophysicist,85,4
09/2025,234412 Geophysicist,55,1
09/2025,234412 Geophysicist,60,1
09/2025,224113 Statistician,65,24
09/2025,224113 Statistician,75,36
09/2025,224113 Statistician,70,34
09/2025,224113 Statistician,80,32
09/2025,224113 Statistician,95,3
09/2025,224113 Statistician,90,40
09/2025,224113 Statistician,85,57
09/2025,224113 Statistician,60,6
09/2025,341111 Electrician (General),65,4
09/2025,341111 Electrician (General),75,1
09/2025,341111 Electrician (General),70,4
09/2025,341111 Electrician (General),80,3
09/2025,341111 Electrician (General),55,4
09/2025,341111 Electrician (General),60,4
09/2025,341111 Electrician (General),50,1
09/2025,252511 Physiotherapist,65,43
09/2025,252511 Physiotherapist,75,85
09/2025,252511 Physiotherapist,70,75
09/2025,252511 Physiotherapist,80,24
09/2025,252511 Physiotherapist,85,5
09/2025,252511 Physiotherapist,55,5
09/2025,252511 Physiotherapist,60,5
09/2025,252511 Physiotherapist,50,3
09/2025,252511 Physiotherapist,40,1
09/2025,251211 Medical Diagnostic Radiographer,65,14
09/2025,251211 Medical Diagnostic Radiographer,75,32
09/2025,251211 Medical Diagnostic Radiographer,70,22
09/2025,251211 Medical Diagnostic Radiographer,80,7
09/2025,251211 Medical Diagnostic Radiographer,55,1
09/2025,251211 Medical Diagnostic Radiographer,60,1
09/2025,232213 Cartographer,65,1
09/2025,232213 Cartographer,70,1
09/2025,232213 Cartographer,80,2
09/2025,232213 Cartographer,55,1
09/2025,232213 Cartographer,60,1
09/2025,342315 Electronic Instrument Trades Worker (Special Class),65,3
09/2025,342315 Electronic Instrument Trades Worker (Special Class),75,4
09/2025,342315 Electronic Instrument Trades Worker (Special Class),70,8
09/2025,342315 Electronic Instrument Trades Worker (Special Class),60,1
09/2025,312212 Civil Engineering Technician,65,190
09/2025,312212 Civil Engineering Technician,75,162
09/2025,312212 Civil Engineering Technician,70,163
09/2025,312212 Civil Engineering Technician,80,93
09/2025,312212 Civil Engineering Technician,90,8
09/2025,312212 Civil Engineering Technician,85,61
09/2025,312212 Civil Engineering Technician,55,24
09/2025,312212 Civil Engineering Technician,60,36
09/2025,312212 Civil Engineering Technician,50,3
09/2025,312212 Civil Engineering Technician,40,1
09/2025,312212 Civil Engineering Technician,45,1
09/2025,253912 Emergency Medicine Specialist,65,2
09/2025,253912 Emergency Medicine Specialist,75,6
09/2025,253912 Emergency Medicine Specialist,70,5
09/2025,253912 Emergency Medicine Specialist,80,3
09/2025,253912 Emergency Medicine Specialist,90,1
09/2025,234312 Environmental Consultant,65,19
09/2025,234312 Environmental Consultant,75,30
09/2025,234312 Environmental Consultant,70,21
09/2025,234312 Environmental Consultant,80,19
09/2025,234312 Environmental Consultant,95,2
09/2025,234312 Environmental Consultant,90,23
09/2025,234312 Environmental Consultant,85,30
09/2025,234312 Environmental Consultant,60,6
09/2025,234312 Environmental Consultant,50,1
09/2025,234312 Environmental Consultant,45,1
09/2025,234517 Microbiologist,65,27
09/2025,234517 Microbiologist,75,19
09/2025,234517 Microbiologist,70,21
09/2025,234517 Microbiologist,80,12
09/2025,234517 Microbiologist,95,1
09/2025,234517 Microbiologist,90,4
09/2025,234517 Microbiologist,85,10
09/2025,234517 Microbiologist,55,4
09/2025,234517 Microbiologist,60,3
09/2025,234517 Microbiologist,50,2
09/2025,322211 Sheetmetal Trades Worker,75,1
09/2025,232112 Landscape Architect,65,26
09/2025,232112 Landscape Architect,75,32
09/2025,232112 Landscape Architect,70,23
09/2025,232112 Landscape Architect,80,18
09/2025,232112 Landscape Architect,90,4
09/2025,232112 Landscape Architect,85,11
09/2025,232112 Landscape Architect,55,1
09/2025,232112 Landscape Architect,60,2
09/2025,252712 Speech Pathologist,65,5
09/2025,252712 Speech Pathologist,75,13
09/2025,252712 Speech Pathologist,70,20
09/2025,252712 Speech Pathologist,80,2
09/2025,252712 Speech Pathologist,90,1
09/2025,252712 Speech Pathologist,60,1
09/2025,322311 Metal Fabricator,65,17
09/2025,322311 Metal Fabricator,75,8
09/2025,322311 Metal Fabricator,70,12
09/2025,322311 Metal Fabricator,80,2
09/2025,322311 Metal Fabricator,85,2
09/2025,322311 Metal Fabricator,60,2
09/2025,322311 Metal Fabricator,50,2
09/2025,234999 Natural and Physical Science Professionals nec,65,1
09/2025,234999 Natural and Physical Science Professionals nec,75,2
09/2025,234999 Natural and Physical Science Professionals nec,70,1
09/2025,234999 Natural and Physical Science Professionals nec,85,3
09/2025,234999 Natural and Physical Science Professionals nec,60,1
09/2025,234914 Physicist,65,8
09/2025,234914 Physicist,75,11
09/2025,234914 Physicist,70,3
09/2025,234914 Physicist,80,6
09/2025,234914 Physicist,95,2
09/2025,234914 Physicist,90,5
09/2025,234914 Physicist,85,5
09/2025,234914 Physicist,55,1
09/2025,233112 Materials Engineer,65,17
09/2025,233112 Materials Engineer,75,11
09/2025,233112 Materials Engineer,70,17
09/2025,233112 Materials Engineer,80,24
09/2025,233112 Materials Engineer,95,2
09/2025,233112 Materials Engineer,90,10
09/2025,233112 Materials Engineer,85,20
09/2025,233112 Materials Engineer,55,3
09/2025,233112 Materials Engineer,60,3
09/2025,252411 Occupational Therapist,65,29
09/2025,252411 Occupational Therapist,75,64
09/2025,252411 Occupational Therapist,70,48
09/2025,252411 Occupational Therapist,80,16
09/2025,252411 Occupational Therapist,90,3
09/2025,252411 Occupational Therapist,85,4
09/2025,252411 Occupational Therapist,55,2
09/2025,252411 Occupational Therapist,60,5
09/2025,252411 Occupational Therapist,45,1
09/2025,342111 Airconditioning and Refrigeration Mechanic,65,10
09/2025,342111 Airconditioning and Refrigeration Mechanic,75,2
09/2025,342111 Airconditioning and Refrigeration Mechanic,70,5
09/2025,342111 Airconditioning and Refrigeration Mechanic,80,1
09/2025,342111 Airconditioning and Refrigeration Mechanic,60,1
09/2025,342111 Airconditioning and Refrigeration Mechanic,50,1
09/2025,234513 Biochemist,65,6
09/2025,234513 Biochemist,75,17
09/2025,234513 Biochemist,70,6
09/2025,234513 Biochemist,80,3
09/2025,234513 Biochemist,90,1
09/2025,234513 Biochemist,85,3
09/2025,234513 Biochemist,55,1
09/2025,234513 Biochemist,60,1
09/2025,234513 Biochemist,50,1
09/2025,234611 Medical Laboratory Scientist,65,20
09/2025,234611 Medical Laboratory Scientist,75,57
09/2025,234611 Medical Laboratory Scientist,70,44
09/2025,234611 Medical Laboratory Scientist,80,28
09/2025,234611 Medical Laboratory Scientist,90,1
09/2025,234611 Medical Laboratory Scientist,85,14
09/2025,234611 Medical Laboratory Scientist,55,3
09/2025,234611 Medical Laboratory Scientist,60,4
09/2025,241511 Special Needs Teacher,75,2
09/2025,241511 Special Needs Teacher,70,4
09/2025,254425 Registered Nurse (Paediatrics),65,18
09/2025,254425 Registered Nurse (Paediatrics),75,10
09/2025,254425 Registered Nurse (Paediatrics),70,24
09/2025,254425 Registered Nurse (Paediatrics),80,3
09/2025,254425 Registered Nurse (Paediatrics),85,2
09/2025,254425 Registered Nurse (Paediatrics),55,1
09/2025,254425 Registered Nurse (Paediatrics),60,3
09/2025,234399 Environmental Scientists nec,65,1
09/2025,234399 Environmental Scientists nec,75,1
09/2025,234399 Environmental Scientists nec,80,2
09/2025,234399 Environmental Scientists nec,90,1
09/2025,234399 Environmental Scientists nec,85,1
09/2025,234399 Environmental Scientists nec,60,1
09/2025,272399 Psychologists nec,65,8
09/2025,272399 Psychologists nec,75,16
09/2025,272399 Psychologists nec,70,8
09/2025,272399 Psychologists nec,80,20
09/2025,272399 Psychologists nec,90,1
09/2025,272399 Psychologists nec,85,2
09/2025,272399 Psychologists nec,60,1
09/2025,323214 Metal Machinist (First Class),65,5
09/2025,323214 Metal Machinist (First Class),75,2
09/2025,323214 Metal Machinist (First Class),70,5
09/2025,323214 Metal Machinist (First Class),55,3
09/2025,323214 Metal Machinist (First Class),50,1
09/2025,323214 Metal Machinist (First Class),40,1
09/2025,323214 Metal Machinist (First Class),45,1
09/2025,251912 Orthotist or Prosthetist,70,1
09/2025,331211 Carpenter and Joiner,65,1
09/2025,254111 Midwife,65,4
09/2025,254111 Midwife,75,9
09/2025,254111 Midwife,70,9
09/2025,254111 Midwife,80,2
09/2025,254111 Midwife,55,1
09/2025,254111 Midwife,60,2
09/2025,233916 Naval Architect,65,4
09/2025,233916 Naval Architect,75,1
09/2025,233916 Naval Architect,70,3
09/2025,233916 Naval Architect,90,4
09/2025,233916 Naval Architect,85,3
09/2025,252112 Osteopath,65,1
09/2025,252112 Osteopath,75,1
09/2025,252112 Osteopath,70,2
09/2025,252112 Osteopath,80,1
09/2025,252112 Osteopath,55,1
09/2025,234911 Conservator,75,3
09/2025,342314 Electronic Instrument Trades Worker (General),65,1
09/2025,342314 Electronic Instrument Trades Worker (General),75,5
09/2025,342314 Electronic Instrument Trades Worker (General),70,10
09/2025,342314 Electronic Instrument Trades Worker (General),80,1
09/2025,342314 Electronic Instrument Trades Worker (General),85,1
09/2025,342314 Electronic Instrument Trades Worker (General),55,2
09/2025,342314 Electronic Instrument Trades Worker (General),60,2
09/2025,342314 Electronic Instrument Trades Worker (General),45,1
09/2025,334111 Plumber (General),65,5
09/2025,334111 Plumber (General),75,1
09/2025,334111 Plumber (General),70,4
09/2025,334111 Plumber (General),80,1
09/2025,334111 Plumber (General),95,1
09/2025,234413 Hydrogeologist,65,6
09/2025,234413 Hydrogeologist,75,2
09/2025,234413 Hydrogeologist,70,2
09/2025,234413 Hydrogeologist,85,1
09/2025,234413 Hydrogeologist,60,1
09/2025,254421 Registered Nurse (Medical Practice),65,8
09/2025,254421 Registered Nurse (Medical Practice),75,8
09/2025,254421 Registered Nurse (Medical Practice),70,10
09/2025,254421 Registered Nurse (Medical Practice),80,3
09/2025,254424 Registered Nurse (Surgical),65,68
09/2025,254424 Registered Nurse (Surgical),75,43
09/2025,254424 Registered Nurse (Surgical),70,57
09/2025,254424 Registered Nurse (Surgical),80,10
09/2025,254424 Registered Nurse (Surgical),85,1
09/2025,254424 Registered Nurse (Surgical),55,7
09/2025,254424 Registered Nurse (Surgical),60,11
09/2025,254424 Registered Nurse (Surgical),40,1
09/2025,324111 Panelbeater,65,1
09/2025,324111 Panelbeater,75,1
09/2025,324111 Panelbeater,70,1
09/2025,324111 Panelbeater,90,1
09/2025,324111 Panelbeater,85,1
09/2025,224511 Land Economist,65,2
09/2025,224511 Land Economist,75,4
09/2025,224511 Land Economist,70,2
09/2025,224511 Land Economist,80,4
09/2025,224511 Land Economist,90,1
09/2025,224511 Land Economist,85,7
09/2025,452316 Tennis Coach,65,1
09/2025,452316 Tennis Coach,70,1
09/2025,452316 Tennis Coach,90,1
09/2025,452316 Tennis Coach,85,1
09/2025,452316 Tennis Coach,60,1
09/2025,399111 Boat Builder and Repairer,65,1
09/2025,399111 Boat Builder and Repairer,75,2
09/2025,399111 Boat Builder and Repairer,70,1
09/2025,399111 Boat Builder and Repairer,80,2
09/2025,399111 Boat Builder and Repairer,90,1
09/2025,253312 Cardiologist,65,1
09/2025,253312 Cardiologist,80,2
09/2025,333212 Solid Plasterer,65,1
09/2025,333212 Solid Plasterer,60,3
09/2025,333411 Wall and Floor Tiler,65,6
09/2025,333411 Wall and Floor Tiler,70,2
09/2025,333411 Wall and Floor Tiler,55,1
09/2025,333411 Wall and Floor Tiler,60,2
09/2025,313211 Radiocommunications Technician,80,1
09/2025,254414 Registered Nurse (Community Health),65,7
09/2025,254414 Registered Nurse (Community Health),75,9
09/2025,254414 Registered Nurse (Community Health),70,7
09/2025,254414 Registered Nurse (Community Health),80,3
09/2025,254414 Registered Nurse (Community Health),55,2
09/2025,254414 Registered Nurse (Community Health),60,2
09/2025,254413 Registered Nurse (Child and Family Health),65,1
09/2025,254413 Registered Nurse (Child and Family Health),75,2
09/2025,254413 Registered Nurse (Child and Family Health),70,2
09/2025,252711 Audiologist,65,17
09/2025,252711 Audiologist,75,15
09/2025,252711 Audiologist,70,17
09/2025,252711 Audiologist,55,3
09/2025,252711 Audiologist,60,2
09/2025,313214 Telecommunications Technical Officer or Technologist,65,16
09/2025,313214 Telecommunications Technical Officer or Technologist,75,27
09/2025,313214 Telecommunications Technical Officer or Technologist,70,9
09/2025,313214 Telecommunications Technical Officer or Technologist,80,12
09/2025,313214 Telecommunications Technical Officer or Technologist,95,1
09/2025,313214 Telecommunications Technical Officer or Technologist,90,2
09/2025,313214 Telecommunications Technical Officer or Technologist,85,4
09/2025,313214 Telecommunications Technical Officer or Technologist,55,2
09/2025,313214 Telecommunications Technical Officer or Technologist,60,4
09/2025,134213 Primary Health Organisation Manager,65,10
09/2025,134213 Primary Health Organisation Manager,75,3
09/2025,134213 Primary Health Organisation Manager,70,9
09/2025,134213 Primary Health Organisation Manager,80,3
09/2025,134213 Primary Health Organisation Manager,85,2
09/2025,134213 Primary Health Organisation Manager,60,2
09/2025,253321 Paediatrician,70,1
09/2025,253321 Paediatrician,80,1
09/2025,253317 Intensive Care Specialist,65,1
09/2025,253917 Diagnostic and Interventional Radiologist,70,1
09/2025,331213 Joiner,55,1
09/2025,234913 Meteorologist,65,2
09/2025,341112 Electrician (Special Class),55,1
09/2025,272313 Organisational Psychologist,65,1
09/2025,272313 Organisational Psychologist,80,1
09/2025,211212 Music Director,65,1
09/2025,211213 Musician (Instrumental),70,1
09/2025,234518 Zoologist,75,2
09/2025,234518 Zoologist,70,1
09/2025,234518 Zoologist,80,1
09/2025,234518 Zoologist,90,1
09/2025,234518 Zoologist,85,2
09/2025,321111 Automotive Electrician,65,4
09/2025,321111 Automotive Electrician,75,6
09/2025,321111 Automotive Electrician,70,2
09/2025,321111 Automotive Electrician,80,1
09/2025,321111 Automotive Electrician,60,2
09/2025,253411 Psychiatrist,75,2
09/2025,253411 Psychiatrist,80,1
09/2025,253411 Psychiatrist,85,1
09/2025,323213 Fitter-Welder,65,1
09/2025,253918 Radiation Oncologist,65,1
09/2025,251411 Optometrist,75,5
09/2025,251411 Optometrist,70,2
09/2025,251411 Optometrist,60,1
09/2025,251214 Sonographer,65,2
09/2025,251214 Sonographer,75,1
09/2025,251214 Sonographer,70,1
09/2025,251214 Sonographer,85,1
09/2025,251214 Sonographer,55,1
09/2025,251214 Sonographer,60,1
09/2025,334112 Airconditioning and Mechanical Services Plumber,65,1
09/2025,334112 Airconditioning and Mechanical Services Plumber,70,1
09/2025,334112 Airconditioning and Mechanical Services Plumber,60,2
09/2025,253511 Surgeon (General),80,1
09/2025,253511 Surgeon (General),50,1
09/2025,253318 Neurologist,70,1
09/2025,334115 Roof Plumber,65,1
09/2025,334115 Roof Plumber,70,1
09/2025,272311 Clinical Psychologist,65,1
09/2025,272311 Clinical Psychologist,70,2
09/2025,272311 Clinical Psychologist,80,1
09/2025,272311 Clinical Psychologist,95,1
09/2025,272311 Clinical Psychologist,85,1
09/2025,254411 Nurse Practitioner,65,2
09/2025,254411 Nurse Practitioner,75,1
09/2025,254411 Nurse Practitioner,70,1
09/2025,342212 Technical Cable Jointer,70,1
09/2025,342212 Technical Cable Jointer,60,1
09/2025,251212 Medical Radiation Therapist,75,3
09/2025,251212 Medical Radiation Therapist,70,2
09/2025,251212 Medical Radiation Therapist,95,1
09/2025,341113 Lift Mechanic,65,2
09/2025,341113 Lift Mechanic,70,1
09/2025,341113 Lift Mechanic,60,1
09/2025,252611 Podiatrist,65,3
09/2025,252611 Podiatrist,75,7
09/2025,252611 Podiatrist,70,2
09/2025,241599 Special Education Teachers nec,65,1
09/2025,241599 Special Education Teachers nec,75,1
09/2025,241599 Special Education Teachers nec,80,1
09/2025,241599 Special Education Teachers nec,55,1
09/2025,253311 Specialist Physician (General Medicine),65,2
09/2025,253311 Specialist Physician (General Medicine),75,2
09/2025,253311 Specialist Physician (General Medicine),80,1
09/2025,253311 Specialist Physician (General Medicine),60,1
09/2025,211112 Dancer or Choreographer,75,1
09/2025,211112 Dancer or Choreographer,80,2
09/2025,134214 Welfare Centre Manager,85,1
09/2025,361112 Horse Trainer,65,2
09/2025,272312 Educational Psychologist,70,1
09/2025,272312 Educational Psychologist,60,1
09/2025,253913 Obstetrician and Gynaecologist,65,1
09/2025,253913 Obstetrician and Gynaecologist,75,2
09/2025,253913 Obstetrician and Gynaecologist,70,1
09/2025,253913 Obstetrician and Gynaecologist,50,1
09/2025,241512 Teacher of the Hearing Impaired,70,1
09/2025,253324 Thoracic Medicine Specialist,70,1
09/2025,253324 Thoracic Medicine Specialist,80,1
09/2025,333211 Fibrous Plasterer,60,1
09/2025,253515 Otorhinolaryngologist,75,1
09/2025,253514 Orthopaedic Surgeon,55,1
09/2025,254416 Registered Nurse (Developmental Disability),75,1
09/2025,254416 Registered Nurse (Developmental Disability),70,2
09/2025,253316 Gastroenterologist,65,1
09/2025,253316 Gastroenterologist,40,1
09/2025,321213 Motorcycle Mechanic,70,1
09/2025,253915 Pathologist,65,1
09/2025,253518 Urologist,65,1
09/2025,253314 Medical Oncologist,80,1
09/2025,241513 Teacher of the Sight Impaired,75,1
08/2025,261312 Developer Programmer,65,284
08/2025,261312 Developer Programmer,75,425
08/2025,261312 Developer Programmer,70,386
08/2025,261312 Developer Programmer,80,382
08/2025,261312 Developer Programmer,95,231
08/2025,261312 Developer Programmer,90,394
08/2025,261312 Developer Programmer,85,432
08/2025,261312 Developer Programmer,55,23
08/2025,261312 Developer Programmer,60,49
08/2025,261312 Developer Programmer,50,7
08/2025,261312 Developer Programmer,100,44
08/2025,261312 Developer Programmer,105,4
08/2025,261312 Developer Programmer,45,1
08/2025,261312 Developer Programmer,115,1
08/2025,321211 Motor Mechanic (General),65,213
08/2025,321211 Motor Mechanic (General),75,145
08/2025,321211 Motor Mechanic (General),70,174
08/2025,321211 Motor Mechanic (General),80,96
08/2025,321211 Motor Mechanic (General),95,7
08/2025,321211 Motor Mechanic (General),90,20
08/2025,321211 Motor Mechanic (General),85,27
08/2025,321211 Motor Mechanic (General),55,10
08/2025,321211 Motor Mechanic (General),60,46
08/2025,321211 Motor Mechanic (General),50,1
08/2025,233211 Civil Engineer,65,471
08/2025,233211 Civil Engineer,75,598
08/2025,233211 Civil Engineer,70,595
08/2025,233211 Civil Engineer,80,515
08/2025,233211 Civil Engineer,95,38
08/2025,233211 Civil Engineer,90,241
08/2025,233211 Civil Engineer,85,456
08/2025,233211 Civil Engineer,55,49
08/2025,233211 Civil Engineer,60,98
08/2025,233211 Civil Engineer,50,18
08/2025,233211 Civil Engineer,100,12
08/2025,233211 Civil Engineer,45,5
08/2025,241111 Early Childhood (Pre-primary School) Teacher,65,588
08/2025,241111 Early Childhood (Pre-primary School) Teacher,75,739
08/2025,241111 Early Childhood (Pre-primary School) Teacher,70,933
08/2025,241111 Early Childhood (Pre-primary School) Teacher,80,636
08/2025,241111 Early Childhood (Pre-primary School) Teacher,90,2
08/2025,241111 Early Childhood (Pre-primary School) Teacher,85,137
08/2025,241111 Early Childhood (Pre-primary School) Teacher,55,18
08/2025,241111 Early Childhood (Pre-primary School) Teacher,60,96
08/2025,241111 Early Childhood (Pre-primary School) Teacher,50,6
08/2025,241111 Early Childhood (Pre-primary School) Teacher,45,1
08/2025,261111 ICT Business Analyst,65,338
08/2025,261111 ICT Business Analyst,75,568
08/2025,261111 ICT Business Analyst,70,430
08/2025,261111 ICT Business Analyst,80,541
08/2025,261111 ICT Business Analyst,95,276
08/2025,261111 ICT Business Analyst,90,578
08/2025,261111 ICT Business Analyst,85,515
08/2025,261111 ICT Business Analyst,55,26
08/2025,261111 ICT Business Analyst,60,60
08/2025,261111 ICT Business Analyst,50,7
08/2025,261111 ICT Business Analyst,100,55
08/2025,261111 ICT Business Analyst,45,1
08/2025,261313 Software Engineer,65,481
08/2025,261313 Software Engineer,75,657
08/2025,261313 Software Engineer,70,608
08/2025,261313 Software Engineer,80,559
08/2025,261313 Software Engineer,95,297
08/2025,261313 Software Engineer,90,516
08/2025,261313 Software Engineer,85,588
08/2025,261313 Software Engineer,55,40
08/2025,261313 Software Engineer,60,98
08/2025,261313 Software Engineer,50,8
08/2025,261313 Software Engineer,100,64
08/2025,261313 Software Engineer,105,5
08/2025,261313 Software Engineer,45,1
08/2025,221111 Accountant (General),65,342
08/2025,221111 Accountant (General),75,517
08/2025,221111 Accountant (General),70,511
08/2025,221111 Accountant (General),80,410
08/2025,221111 Accountant (General),95,128
08/2025,221111 Accountant (General),90,286
08/2025,221111 Accountant (General),85,403
08/2025,221111 Accountant (General),55,13
08/2025,221111 Accountant (General),60,52
08/2025,221111 Accountant (General),50,3
08/2025,221111 Accountant (General),100,33
08/2025,221111 Accountant (General),105,1
08/2025,221111 Accountant (General),45,4
08/2025,221111 Accountant (General),35,1
08/2025,262112 ICT Security Specialist,65,150
08/2025,262112 ICT Security Specialist,75,209
08/2025,262112 ICT Security Specialist,70,151
08/2025,262112 ICT Security Specialist,80,211
08/2025,262112 ICT Security Specialist,95,77
08/2025,262112 ICT Security Specialist,90,208
08/2025,262112 ICT Security Specialist,85,209
08/2025,262112 ICT Security Specialist,55,10
08/2025,262112 ICT Security Specialist,60,27
08/2025,262112 ICT Security Specialist,50,3
08/2025,262112 ICT Security Specialist,100,11
08/2025,221213 External Auditor,65,207
08/2025,221213 External Auditor,75,315
08/2025,221213 External Auditor,70,333
08/2025,221213 External Auditor,80,316
08/2025,221213 External Auditor,95,33
08/2025,221213 External Auditor,90,154
08/2025,221213 External Auditor,85,330
08/2025,221213 External Auditor,55,2
08/2025,221213 External Auditor,60,44
08/2025,221213 External Auditor,100,1
08/2025,221213 External Auditor,105,1
08/2025,234515 Botanist,65,4
08/2025,234515 Botanist,75,2
08/2025,234515 Botanist,55,1
08/2025,233512 Mechanical Engineer,65,408
08/2025,233512 Mechanical Engineer,75,489
08/2025,233512 Mechanical Engineer,70,455
08/2025,233512 Mechanical Engineer,80,439
08/2025,233512 Mechanical Engineer,95,40
08/2025,233512 Mechanical Engineer,90,242
08/2025,233512 Mechanical Engineer,85,446
08/2025,233512 Mechanical Engineer,55,41
08/2025,233512 Mechanical Engineer,60,111
08/2025,233512 Mechanical Engineer,50,16
08/2025,233512 Mechanical Engineer,100,12
08/2025,233512 Mechanical Engineer,40,4
08/2025,233512 Mechanical Engineer,45,4
08/2025,233999 Engineering Professionals nec,65,61
08/2025,233999 Engineering Professionals nec,75,83
08/2025,233999 Engineering Professionals nec,70,63
08/2025,233999 Engineering Professionals nec,80,91
08/2025,233999 Engineering Professionals nec,95,13
08/2025,233999 Engineering Professionals nec,90,50
08/2025,233999 Engineering Professionals nec,85,84
08/2025,233999 Engineering Professionals nec,55,8
08/2025,233999 Engineering Professionals nec,60,9
08/2025,233999 Engineering Professionals nec,50,2
08/2025,233999 Engineering Professionals nec,100,3
08/2025,233999 Engineering Professionals nec,40,1
08/2025,234111 Agricultural Consultant,65,60
08/2025,234111 Agricultural Consultant,75,45
08/2025,234111 Agricultural Consultant,70,48
08/2025,234111 Agricultural Consultant,80,29
08/2025,234111 Agricultural Consultant,90,4
08/2025,234111 Agricultural Consultant,85,18
08/2025,234111 Agricultural Consultant,55,11
08/2025,234111 Agricultural Consultant,60,14
08/2025,234111 Agricultural Consultant,45,1
08/2025,254418 Registered Nurse (Medical),65,164
08/2025,254418 Registered Nurse (Medical),75,69
08/2025,254418 Registered Nurse (Medical),70,113
08/2025,254418 Registered Nurse (Medical),80,12
08/2025,254418 Registered Nurse (Medical),85,2
08/2025,254418 Registered Nurse (Medical),55,10
08/2025,254418 Registered Nurse (Medical),60,28
08/2025,254418 Registered Nurse (Medical),50,2
08/2025,351311 Chef,65,650
08/2025,351311 Chef,75,502
08/2025,351311 Chef,70,677
08/2025,351311 Chef,80,292
08/2025,351311 Chef,95,17
08/2025,351311 Chef,90,72
08/2025,351311 Chef,85,152
08/2025,351311 Chef,55,39
08/2025,351311 Chef,60,110
08/2025,351311 Chef,50,16
08/2025,351311 Chef,100,1
08/2025,351311 Chef,105,3
08/2025,351311 Chef,45,5
08/2025,233411 Electronics Engineer,65,153
08/2025,233411 Electronics Engineer,75,178
08/2025,233411 Electronics Engineer,70,165
08/2025,233411 Electronics Engineer,80,167
08/2025,233411 Electronics Engineer,95,11
08/2025,233411 Electronics Engineer,90,65
08/2025,233411 Electronics Engineer,85,135
08/2025,233411 Electronics Engineer,55,20
08/2025,233411 Electronics Engineer,60,45
08/2025,233411 Electronics Engineer,50,12
08/2025,233411 Electronics Engineer,45,3
08/2025,323212 Fitter and Turner,65,1
08/2025,323212 Fitter and Turner,45,1
08/2025,261112 Systems Analyst,65,182
08/2025,261112 Systems Analyst,75,349
08/2025,261112 Systems Analyst,70,260
08/2025,261112 Systems Analyst,80,348
08/2025,261112 Systems Analyst,95,171
08/2025,261112 Systems Analyst,90,371
08/2025,261112 Systems Analyst,85,353
08/2025,261112 Systems Analyst,55,13
08/2025,261112 Systems Analyst,60,25
08/2025,261112 Systems Analyst,50,2
