AsAt,OccGroup,Score,n
09/2025,3991 Boat Builders and Shipwrights,70,3
09/2025,3991 Boat Builders and Shipwrights,80,5
09/2025,3991 Boat Builders and Shipwrights,95,1
09/2025,3991 Boat Builders and Shipwrights,90,1
09/2025,3991 Boat Builders and Shipwrights,85,3
09/2025,3991 Boat Builders and Shipwrights,55,1
09/2025,3991 Boat Builders and Shipwrights,60,1
09/2025,3991 Boat Builders and Shipwrights,50,1
09/2025,2533 Internal Medicine Specialists,65,7
09/2025,2533 Internal Medicine Specialists,75,10
09/2025,2533 Internal Medicine Specialists,70,8
09/2025,2533 Internal Medicine Specialists,80,8
09/2025,2533 Internal Medicine Specialists,85,1
09/2025,2533 Internal Medicine Specialists,60,4
09/2025,2533 Internal Medicine Specialists,50,1
09/2025,2533 Internal Medicine Specialists,40,1
09/2025,2533 Internal Medicine Specialists,45,1
09/2025,3332 Plasterers,65,5
09/2025,3332 Plasterers,70,2
09/2025,3332 Plasterers,55,2
09/2025,3332 Plasterers,60,9
09/2025,3611 Animal Attendants and Trainers,65,2
09/2025,3334 Wall and Floor Tilers,65,13
09/2025,3334 Wall and Floor Tilers,70,7
09/2025,3334 Wall and Floor Tilers,55,6
09/2025,3334 Wall and Floor Tilers,60,17
09/2025,3334 Wall and Floor Tilers,50,2
09/2025,2112 Music Professionals,65,11
09/2025,2112 Music Professionals,70,1
09/2025,2112 Music Professionals,80,2
09/2025,2112 Music Professionals,90,1
09/2025,2112 Music Professionals,60,1
09/2025,2112 Music Professionals,50,1
09/2025,"2121 Artistic Directors, and Media Producers and Presenters",85,1
09/2025,3211 Automotive Electricians,65,11
09/2025,3211 Automotive Electricians,75,14
09/2025,3211 Automotive Electricians,70,7
09/2025,3211 Automotive Electricians,80,2
09/2025,3211 Automotive Electricians,85,1
09/2025,3211 Automotive Electricians,55,7
09/2025,3211 Automotive Electricians,60,11
09/2025,3211 Automotive Electricians,50,17
09/2025,3211 Automotive Electricians,40,1
09/2025,3211 Automotive Electricians,45,2
09/2025,2534 Psychiatrists,65,1
09/2025,2534 Psychiatrists,75,4
09/2025,2534 Psychiatrists,70,3
09/2025,2534 Psychiatrists,80,2
09/2025,2534 Psychiatrists,90,1
09/2025,2534 Psychiatrists,85,1
09/2025,2534 Psychiatrists,60,1
09/2025,2514 Optometrists and Orthoptists,65,1
09/2025,2514 Optometrists and Orthoptists,75,9
09/2025,2514 Optometrists and Orthoptists,70,8
09/2025,2514 Optometrists and Orthoptists,55,1
09/2025,2514 Optometrists and Orthoptists,60,1
09/2025,2535 Surgeons,65,4
09/2025,2535 Surgeons,75,2
09/2025,2535 Surgeons,70,1
09/2025,2535 Surgeons,80,2
09/2025,2535 Surgeons,55,2
09/2025,2535 Surgeons,50,1
09/2025,3422 Electrical Distribution Trades Workers,70,1
09/2025,3422 Electrical Distribution Trades Workers,60,1
09/2025,2526 Podiatrists,65,6
09/2025,2526 Podiatrists,75,13
09/2025,2526 Podiatrists,70,8
09/2025,2526 Podiatrists,80,3
09/2025,2526 Podiatrists,55,1
09/2025,2526 Podiatrists,60,1
09/2025,2526 Podiatrists,50,1
09/2025,"2111 Actors, Dancers and Other Entertainers",75,2
09/2025,"2111 Actors, Dancers and Other Entertainers",70,1
09/2025,"2111 Actors, Dancers and Other Entertainers",80,3
09/2025,"2111 Actors, Dancers and Other Entertainers",60,1
09/2025,4524 Sportspersons,70,1
09/2025,4524 Sportspersons,80,1
08/2025,2613 Software and Applications Programmers,65,1976
08/2025,2613 Software and Applications Programmers,75,3039
08/2025,2613 Software and Applications Programmers,70,2484
08/2025,2613 Software and Applications Programmers,80,2696
08/2025,2613 Software and Applications Programmers,95,1292
08/2025,2613 Software and Applications Programmers,90,2638
08/2025,2613 Software and Applications Programmers,85,2836
08/2025,2613 Software and Applications Programmers,55,253
08/2025,2613 Software and Applications Programmers,60,541
08/2025,2613 Software and Applications Programmers,50,83
08/2025,2613 Software and Applications Programmers,100,344
08/2025,2613 Software and Applications Programmers,105,48
08/2025,2613 Software and Applications Programmers,45,21
08/2025,2613 Software and Applications Programmers,30,1
08/2025,2613 Software and Applications Programmers,25,1
08/2025,2613 Software and Applications Programmers,120,2
08/2025,2613 Software and Applications Programmers,115,1
08/2025,2613 Software and Applications Programmers,125,1
08/2025,2613 Software and Applications Programmers,35,1
08/2025,3212 Motor Mechanics,65,627
08/2025,3212 Motor Mechanics,75,393
08/2025,3212 Motor Mechanics,70,567
08/2025,3212 Motor Mechanics,80,225
08/2025,3212 Motor Mechanics,95,10
08/2025,3212 Motor Mechanics,90,47
08/2025,3212 Motor Mechanics,85,78
08/2025,3212 Motor Mechanics,55,122
08/2025,3212 Motor Mechanics,60,292
08/2025,3212 Motor Mechanics,50,40
08/2025,3212 Motor Mechanics,40,1
08/2025,3212 Motor Mechanics,45,4
08/2025,2332 Civil Engineering Professionals,65,1477
08/2025,2332 Civil Engineering Professionals,75,1625
08/2025,2332 Civil Engineering Professionals,70,1658
08/2025,2332 Civil Engineering Professionals,80,1240
08/2025,2332 Civil Engineering Professionals,95,87
08/2025,2332 Civil Engineering Professionals,90,499
08/2025,2332 Civil Engineering Professionals,85,979
08/2025,2332 Civil Engineering Professionals,55,256
08/2025,2332 Civil Engineering Professionals,60,413
08/2025,2332 Civil Engineering Professionals,50,79
08/2025,2332 Civil Engineering Professionals,100,21
08/2025,2332 Civil Engineering Professionals,105,3
08/2025,2332 Civil Engineering Professionals,40,5
08/2025,2332 Civil Engineering Professionals,45,17
08/2025,2332 Civil Engineering Professionals,115,1
08/2025,2332 Civil Engineering Professionals,35,1
08/2025,2411 Early Childhood (Pre-primary School) Teachers,65,1234
08/2025,2411 Early Childhood (Pre-primary School) Teachers,75,1376
08/2025,2411 Early Childhood (Pre-primary School) Teachers,70,1750
08/2025,2411 Early Childhood (Pre-primary School) Teachers,80,1165
08/2025,2411 Early Childhood (Pre-primary School) Teachers,90,3
08/2025,2411 Early Childhood (Pre-primary School) Teachers,85,215
08/2025,2411 Early Childhood (Pre-primary School) Teachers,55,101
08/2025,2411 Early Childhood (Pre-primary School) Teachers,60,328
08/2025,2411 Early Childhood (Pre-primary School) Teachers,50,38
08/2025,2411 Early Childhood (Pre-primary School) Teachers,40,1
08/2025,2411 Early Childhood (Pre-primary School) Teachers,45,8
08/2025,2611 ICT Business and Systems Analysts,65,1007
08/2025,2611 ICT Business and Systems Analysts,75,1633
08/2025,2611 ICT Business and Systems Analysts,70,1273
08/2025,2611 ICT Business and Systems Analysts,80,1535
08/2025,2611 ICT Business and Systems Analysts,95,722
08/2025,2611 ICT Business and Systems Analysts,90,1513
08/2025,2611 ICT Business and Systems Analysts,85,1512
08/2025,2611 ICT Business and Systems Analysts,55,115
08/2025,2611 ICT Business and Systems Analysts,60,303
08/2025,2611 ICT Business and Systems Analysts,50,27
08/2025,2611 ICT Business and Systems Analysts,110,1
08/2025,2611 ICT Business and Systems Analysts,100,138
08/2025,2611 ICT Business and Systems Analysts,105,2
08/2025,2611 ICT Business and Systems Analysts,40,1
08/2025,2611 ICT Business and Systems Analysts,45,8
08/2025,2211 Accountants,65,1258
08/2025,2211 Accountants,75,1826
08/2025,2211 Accountants,70,1767
08/2025,2211 Accountants,80,1386
08/2025,2211 Accountants,95,279
08/2025,2211 Accountants,90,815
08/2025,2211 Accountants,85,1332
08/2025,2211 Accountants,55,83
08/2025,2211 Accountants,60,309
08/2025,2211 Accountants,50,20
08/2025,2211 Accountants,110,1
08/2025,2211 Accountants,100,77
08/2025,2211 Accountants,105,4
08/2025,2211 Accountants,40,3
08/2025,2211 Accountants,45,12
08/2025,2211 Accountants,115,1
08/2025,2211 Accountants,35,2
08/2025,2344 Geologists Geophysicists and Hydrogeologists,65,22
08/2025,2344 Geologists Geophysicists and Hydrogeologists,75,18
08/2025,2344 Geologists Geophysicists and Hydrogeologists,70,12
08/2025,2344 Geologists Geophysicists and Hydrogeologists,80,10
08/2025,2344 Geologists Geophysicists and Hydrogeologists,90,4
08/2025,2344 Geologists Geophysicists and Hydrogeologists,85,5
08/2025,2344 Geologists Geophysicists and Hydrogeologists,55,4
08/2025,2344 Geologists Geophysicists and Hydrogeologists,60,7
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",65,274
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",75,442
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",70,301
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",80,415
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",95,130
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",90,340
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",85,377
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",55,35
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",60,70
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",50,15
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",100,19
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",105,1
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",40,2
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",45,3
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,498
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,685
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,657
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,614
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,57
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,277
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,587
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,23
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,121
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",50,11
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,5
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,1
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,3
08/2025,2345 Life Scientists,65,140
08/2025,2345 Life Scientists,75,195
08/2025,2345 Life Scientists,70,159
08/2025,2345 Life Scientists,80,133
08/2025,2345 Life Scientists,95,7
08/2025,2345 Life Scientists,90,51
08/2025,2345 Life Scientists,85,151
08/2025,2345 Life Scientists,55,47
08/2025,2345 Life Scientists,60,46
08/2025,2345 Life Scientists,50,10
08/2025,2345 Life Scientists,100,2
08/2025,2345 Life Scientists,45,5
08/2025,"2335 Industrial, Mechanical and Production Engineers",65,1136
08/2025,"2335 Industrial, Mechanical and Production Engineers",75,1325
08/2025,"2335 Industrial, Mechanical and Production Engineers",70,1187
08/2025,"2335 Industrial, Mechanical and Production Engineers",80,1043
08/2025,"2335 Industrial, Mechanical and Production Engineers",95,86
08/2025,"2335 Industrial, Mechanical and Production Engineers",90,515
08/2025,"2335 Industrial, Mechanical and Production Engineers",85,1009
08/2025,"2335 Industrial, Mechanical and Production Engineers",55,215
08/2025,"2335 Industrial, Mechanical and Production Engineers",60,377
08/2025,"2335 Industrial, Mechanical and Production Engineers",50,69
08/2025,"2335 Industrial, Mechanical and Production Engineers",100,23
08/2025,"2335 Industrial, Mechanical and Production Engineers",105,1
08/2025,"2335 Industrial, Mechanical and Production Engineers",40,13
08/2025,"2335 Industrial, Mechanical and Production Engineers",45,28
08/2025,"2335 Industrial, Mechanical and Production Engineers",35,1
08/2025,2339 Other Engineering Professionals,65,999
08/2025,2339 Other Engineering Professionals,75,1054
08/2025,2339 Other Engineering Professionals,70,1106
08/2025,2339 Other Engineering Professionals,80,961
08/2025,2339 Other Engineering Professionals,95,88
08/2025,2339 Other Engineering Professionals,90,421
08/2025,2339 Other Engineering Professionals,85,880
08/2025,2339 Other Engineering Professionals,55,210
08/2025,2339 Other Engineering Professionals,60,369
08/2025,2339 Other Engineering Professionals,50,72
08/2025,2339 Other Engineering Professionals,100,24
08/2025,2339 Other Engineering Professionals,105,5
08/2025,2339 Other Engineering Professionals,40,6
08/2025,2339 Other Engineering Professionals,45,27
08/2025,2339 Other Engineering Professionals,30,1
08/2025,2339 Other Engineering Professionals,35,1
08/2025,2341 Agricultural and Forestry Scientists,65,217
08/2025,2341 Agricultural and Forestry Scientists,75,145
08/2025,2341 Agricultural and Forestry Scientists,70,157
08/2025,2341 Agricultural and Forestry Scientists,80,101
08/2025,2341 Agricultural and Forestry Scientists,95,1
08/2025,2341 Agricultural and Forestry Scientists,90,15
08/2025,2341 Agricultural and Forestry Scientists,85,71
08/2025,2341 Agricultural and Forestry Scientists,55,26
08/2025,2341 Agricultural and Forestry Scientists,60,51
08/2025,2341 Agricultural and Forestry Scientists,50,18
08/2025,2341 Agricultural and Forestry Scientists,40,1
08/2025,2341 Agricultural and Forestry Scientists,45,4
08/2025,2544 Registered Nurses,65,2608
08/2025,2544 Registered Nurses,75,2536
08/2025,2544 Registered Nurses,70,3082
08/2025,2544 Registered Nurses,80,357
08/2025,2544 Registered Nurses,90,3
08/2025,2544 Registered Nurses,85,23
08/2025,2544 Registered Nurses,55,200
08/2025,2544 Registered Nurses,60,562
08/2025,2544 Registered Nurses,50,51
08/2025,2544 Registered Nurses,40,7
08/2025,2544 Registered Nurses,45,27
08/2025,2544 Registered Nurses,35,3
08/2025,3513 Chefs,65,2006
08/2025,3513 Chefs,75,1499
08/2025,3513 Chefs,70,1992
08/2025,3513 Chefs,80,754
08/2025,3513 Chefs,95,26
08/2025,3513 Chefs,90,160
08/2025,3513 Chefs,85,374
08/2025,3513 Chefs,55,370
08/2025,3513 Chefs,60,820
08/2025,3513 Chefs,50,156
08/2025,3513 Chefs,100,3
08/2025,3513 Chefs,105,3
08/2025,3513 Chefs,40,6
08/2025,3513 Chefs,45,36
08/2025,3513 Chefs,30,2
08/2025,2334 Electronics Engineers,65,358
08/2025,2334 Electronics Engineers,75,351
08/2025,2334 Electronics Engineers,70,334
08/2025,2334 Electronics Engineers,80,283
08/2025,2334 Electronics Engineers,95,26
08/2025,2334 Electronics Engineers,90,99
08/2025,2334 Electronics Engineers,85,226
08/2025,2334 Electronics Engineers,55,79
08/2025,2334 Electronics Engineers,60,142
08/2025,2334 Electronics Engineers,50,42
08/2025,2334 Electronics Engineers,40,1
08/2025,2334 Electronics Engineers,45,11
08/2025,2334 Electronics Engineers,35,1
08/2025,3232 Metal Fitters and Machinists,65,55
08/2025,3232 Metal Fitters and Machinists,75,30
08/2025,3232 Metal Fitters and Machinists,70,58
08/2025,3232 Metal Fitters and Machinists,80,20
08/2025,3232 Metal Fitters and Machinists,90,1
08/2025,3232 Metal Fitters and Machinists,85,6
08/2025,3232 Metal Fitters and Machinists,55,36
08/2025,3232 Metal Fitters and Machinists,60,53
08/2025,3232 Metal Fitters and Machinists,50,32
08/2025,3232 Metal Fitters and Machinists,40,4
08/2025,3232 Metal Fitters and Machinists,45,12
08/2025,2631 Computer Network Professionals,65,353
08/2025,2631 Computer Network Professionals,75,628
08/2025,2631 Computer Network Professionals,70,454
08/2025,2631 Computer Network Professionals,80,484
08/2025,2631 Computer Network Professionals,95,213
08/2025,2631 Computer Network Professionals,90,390
08/2025,2631 Computer Network Professionals,85,491
08/2025,2631 Computer Network Professionals,55,58
08/2025,2631 Computer Network Professionals,60,109
08/2025,2631 Computer Network Professionals,50,12
08/2025,2631 Computer Network Professionals,100,49
08/2025,2631 Computer Network Professionals,105,1
08/2025,2631 Computer Network Professionals,40,3
08/2025,2631 Computer Network Professionals,45,5
08/2025,"2342 Chemists, and Food and Wine Scientists",65,196
08/2025,"2342 Chemists, and Food and Wine Scientists",75,155
08/2025,"2342 Chemists, and Food and Wine Scientists",70,168
08/2025,"2342 Chemists, and Food and Wine Scientists",80,158
08/2025,"2342 Chemists, and Food and Wine Scientists",95,1
08/2025,"2342 Chemists, and Food and Wine Scientists",90,40
08/2025,"2342 Chemists, and Food and Wine Scientists",85,127
08/2025,"2342 Chemists, and Food and Wine Scientists",55,23
08/2025,"2342 Chemists, and Food and Wine Scientists",60,45
08/2025,"2342 Chemists, and Food and Wine Scientists",50,10
08/2025,"2342 Chemists, and Food and Wine Scientists",45,4
08/2025,2713 Solicitors,65,66
08/2025,2713 Solicitors,75,128
08/2025,2713 Solicitors,70,106
08/2025,2713 Solicitors,80,147
08/2025,2713 Solicitors,90,61
08/2025,2713 Solicitors,85,192
08/2025,2713 Solicitors,55,5
08/2025,2713 Solicitors,60,14
08/2025,2713 Solicitors,50,3
08/2025,2713 Solicitors,40,1
08/2025,2713 Solicitors,45,1
08/2025,2713 Solicitors,35,1
08/2025,2331 Chemical and Materials Engineers,65,205
08/2025,2331 Chemical and Materials Engineers,75,251
08/2025,2331 Chemical and Materials Engineers,70,238
08/2025,2331 Chemical and Materials Engineers,80,266
08/2025,2331 Chemical and Materials Engineers,95,5
08/2025,2331 Chemical and Materials Engineers,90,88
08/2025,2331 Chemical and Materials Engineers,85,191
08/2025,2331 Chemical and Materials Engineers,55,46
08/2025,2331 Chemical and Materials Engineers,60,48
08/2025,2331 Chemical and Materials Engineers,50,8
08/2025,2331 Chemical and Materials Engineers,40,1
08/2025,2331 Chemical and Materials Engineers,45,2
08/2025,3123 Electrical Engineering Draftspersons and Technicians,65,64
08/2025,3123 Electrical Engineering Draftspersons and Technicians,75,47
08/2025,3123 Electrical Engineering Draftspersons and Technicians,70,63
08/2025,3123 Electrical Engineering Draftspersons and Technicians,80,24
08/2025,3123 Electrical Engineering Draftspersons and Technicians,90,7
08/2025,3123 Electrical Engineering Draftspersons and Technicians,85,18
08/2025,3123 Electrical Engineering Draftspersons and Technicians,55,9
08/2025,3123 Electrical Engineering Draftspersons and Technicians,60,28
08/2025,3123 Electrical Engineering Draftspersons and Technicians,50,1
08/2025,3123 Electrical Engineering Draftspersons and Technicians,45,1
08/2025,2333 Electrical Engineers,65,606
08/2025,2333 Electrical Engineers,75,587
08/2025,2333 Electrical Engineers,70,568
08/2025,2333 Electrical Engineers,80,514
08/2025,2333 Electrical Engineers,95,50
08/2025,2333 Electrical Engineers,90,179
08/2025,2333 Electrical Engineers,85,396
08/2025,2333 Electrical Engineers,55,131
08/2025,2333 Electrical Engineers,60,214
08/2025,2333 Electrical Engineers,50,47
08/2025,2333 Electrical Engineers,100,12
08/2025,2333 Electrical Engineers,105,3
08/2025,2333 Electrical Engineers,40,4
08/2025,2333 Electrical Engineers,45,14
08/2025,2333 Electrical Engineers,120,1
08/2025,2333 Electrical Engineers,35,1
08/2025,2321 Architects and Landscape Architects,65,167
08/2025,2321 Architects and Landscape Architects,75,266
08/2025,2321 Architects and Landscape Architects,70,258
08/2025,2321 Architects and Landscape Architects,80,189
08/2025,2321 Architects and Landscape Architects,95,1
08/2025,2321 Architects and Landscape Architects,90,25
08/2025,2321 Architects and Landscape Architects,85,100
08/2025,2321 Architects and Landscape Architects,55,10
08/2025,2321 Architects and Landscape Architects,60,40
08/2025,2321 Architects and Landscape Architects,50,2
08/2025,2321 Architects and Landscape Architects,45,1
08/2025,2531 General Practitioners and Resident Medical officers,65,49
08/2025,2531 General Practitioners and Resident Medical officers,75,141
08/2025,2531 General Practitioners and Resident Medical officers,70,121
08/2025,2531 General Practitioners and Resident Medical officers,80,54
08/2025,2531 General Practitioners and Resident Medical officers,95,1
08/2025,2531 General Practitioners and Resident Medical officers,90,2
08/2025,2531 General Practitioners and Resident Medical officers,85,7
08/2025,2531 General Practitioners and Resident Medical officers,55,3
08/2025,2531 General Practitioners and Resident Medical officers,60,19
08/2025,2531 General Practitioners and Resident Medical officers,50,2
08/2025,2247 Management and Organisation Analysts,65,54
08/2025,2247 Management and Organisation Analysts,75,87
08/2025,2247 Management and Organisation Analysts,70,65
08/2025,2247 Management and Organisation Analysts,80,102
08/2025,2247 Management and Organisation Analysts,90,40
08/2025,2247 Management and Organisation Analysts,85,104
08/2025,2247 Management and Organisation Analysts,55,4
08/2025,2247 Management and Organisation Analysts,60,8
08/2025,2247 Management and Organisation Analysts,50,1
08/2025,2247 Management and Organisation Analysts,45,2
08/2025,2347 Veterinarians,65,21
08/2025,2347 Veterinarians,75,40
08/2025,2347 Veterinarians,70,20
08/2025,2347 Veterinarians,80,42
08/2025,2347 Veterinarians,90,16
08/2025,2347 Veterinarians,85,63
08/2025,2347 Veterinarians,60,1
08/2025,2347 Veterinarians,50,1
08/2025,2414 Secondary School Teachers,65,316
08/2025,2414 Secondary School Teachers,75,332
08/2025,2414 Secondary School Teachers,70,363
08/2025,2414 Secondary School Teachers,80,237
08/2025,2414 Secondary School Teachers,90,1
08/2025,2414 Secondary School Teachers,85,25
08/2025,2414 Secondary School Teachers,55,36
08/2025,2414 Secondary School Teachers,60,99
08/2025,2414 Secondary School Teachers,50,18
08/2025,2414 Secondary School Teachers,45,4
08/2025,2414 Secondary School Teachers,35,1
08/2025,1341 Child Care Centre Managers,65,9
08/2025,1341 Child Care Centre Managers,75,5
08/2025,1341 Child Care Centre Managers,70,8
08/2025,1341 Child Care Centre Managers,80,1
08/2025,1341 Child Care Centre Managers,55,2
08/2025,1341 Child Care Centre Managers,60,5
08/2025,1341 Child Care Centre Managers,50,2
08/2025,"2241 Actuaries, Mathematicians and Statisticians",65,69
08/2025,"2241 Actuaries, Mathematicians and Statisticians",75,97
08/2025,"2241 Actuaries, Mathematicians and Statisticians",70,81
08/2025,"2241 Actuaries, Mathematicians and Statisticians",80,119
08/2025,"2241 Actuaries, Mathematicians and Statisticians",90,70
08/2025,"2241 Actuaries, Mathematicians and Statisticians",85,148
08/2025,"2241 Actuaries, Mathematicians and Statisticians",55,14
08/2025,"2241 Actuaries, Mathematicians and Statisticians",60,19
08/2025,"2241 Actuaries, Mathematicians and Statisticians",50,1
08/2025,"2241 Actuaries, Mathematicians and Statisticians",40,2
08/2025,3331 Glaziers,70,1
08/2025,3331 Glaziers,60,1
08/2025,2421 University Lecturers and Tutors,65,313
08/2025,2421 University Lecturers and Tutors,75,276
08/2025,2421 University Lecturers and Tutors,70,301
08/2025,2421 University Lecturers and Tutors,80,250
08/2025,2421 University Lecturers and Tutors,90,6
08/2025,2421 University Lecturers and Tutors,85,57
08/2025,2421 University Lecturers and Tutors,55,41
08/2025,2421 University Lecturers and Tutors,60,134
08/2025,2421 University Lecturers and Tutors,50,13
08/2025,2421 University Lecturers and Tutors,100,1
08/2025,2421 University Lecturers and Tutors,105,1
08/2025,2421 University Lecturers and Tutors,40,4
08/2025,2421 University Lecturers and Tutors,45,3
08/2025,2633 Telecommunications Engineering Professionals,65,197
08/2025,2633 Telecommunications Engineering Professionals,75,285
08/2025,2633 Telecommunications Engineering Professionals,70,193
08/2025,2633 Telecommunications Engineering Professionals,80,170
08/2025,2633 Telecommunications Engineering Professionals,95,24
08/2025,2633 Telecommunications Engineering Professionals,90,80
08/2025,2633 Telecommunications Engineering Professionals,85,155
08/2025,2633 Telecommunications Engineering Professionals,55,33
08/2025,2633 Telecommunications Engineering Professionals,60,71
08/2025,2633 Telecommunications Engineering Professionals,50,23
08/2025,2633 Telecommunications Engineering Professionals,100,3
08/2025,2633 Telecommunications Engineering Professionals,40,2
08/2025,2633 Telecommunications Engineering Professionals,45,5
08/2025,2633 Telecommunications Engineering Professionals,35,1
08/2025,1332 Engineering Managers,65,67
08/2025,1332 Engineering Managers,75,54
08/2025,1332 Engineering Managers,70,53
08/2025,1332 Engineering Managers,80,21
08/2025,1332 Engineering Managers,85,19
08/2025,1332 Engineering Managers,55,14
08/2025,1332 Engineering Managers,60,10
08/2025,1332 Engineering Managers,50,4
08/2025,1332 Engineering Managers,40,1
08/2025,1332 Engineering Managers,45,2
08/2025,3122 Civil Engineering Draftspersons and Technicians,65,1319
08/2025,3122 Civil Engineering Draftspersons and Technicians,75,1086
08/2025,3122 Civil Engineering Draftspersons and Technicians,70,1297
08/2025,3122 Civil Engineering Draftspersons and Technicians,80,503
08/2025,3122 Civil Engineering Draftspersons and Technicians,90,28
08/2025,3122 Civil Engineering Draftspersons and Technicians,85,224
08/2025,3122 Civil Engineering Draftspersons and Technicians,55,247
08/2025,3122 Civil Engineering Draftspersons and Technicians,60,422
08/2025,3122 Civil Engineering Draftspersons and Technicians,50,100
08/2025,3122 Civil Engineering Draftspersons and Technicians,40,5
08/2025,3122 Civil Engineering Draftspersons and Technicians,45,23
08/2025,3122 Civil Engineering Draftspersons and Technicians,30,1
08/2025,1399 Other Specialist Managers,65,33
08/2025,1399 Other Specialist Managers,75,35
08/2025,1399 Other Specialist Managers,70,33
08/2025,1399 Other Specialist Managers,80,18
08/2025,1399 Other Specialist Managers,90,7
08/2025,1399 Other Specialist Managers,85,16
08/2025,1399 Other Specialist Managers,55,12
08/2025,1399 Other Specialist Managers,60,6
08/2025,1399 Other Specialist Managers,50,2
08/2025,2322 Cartographers and Surveyors,65,76
08/2025,2322 Cartographers and Surveyors,75,42
08/2025,2322 Cartographers and Surveyors,70,79
08/2025,2322 Cartographers and Surveyors,80,41
08/2025,2322 Cartographers and Surveyors,90,10
08/2025,2322 Cartographers and Surveyors,85,25
08/2025,2322 Cartographers and Surveyors,55,14
08/2025,2322 Cartographers and Surveyors,60,22
08/2025,2322 Cartographers and Surveyors,50,2
08/2025,3233 Precision Metal Trades Workers,70,4
08/2025,3233 Precision Metal Trades Workers,55,1
08/2025,3233 Precision Metal Trades Workers,60,2
08/2025,2245 Land Economists and Valuers,65,24
08/2025,2245 Land Economists and Valuers,75,36
08/2025,2245 Land Economists and Valuers,70,11
08/2025,2245 Land Economists and Valuers,80,25
08/2025,2245 Land Economists and Valuers,90,1
08/2025,2245 Land Economists and Valuers,85,21
08/2025,2245 Land Economists and Valuers,55,2
08/2025,2245 Land Economists and Valuers,60,4
08/2025,2336 Mining Engineers,65,121
08/2025,2336 Mining Engineers,75,121
08/2025,2336 Mining Engineers,70,121
08/2025,2336 Mining Engineers,80,94
08/2025,2336 Mining Engineers,90,16
08/2025,2336 Mining Engineers,85,72
08/2025,2336 Mining Engineers,55,26
08/2025,2336 Mining Engineers,60,22
08/2025,2336 Mining Engineers,50,18
08/2025,2336 Mining Engineers,40,1
08/2025,2336 Mining Engineers,45,1
08/2025,2612 Multimedia Specialists and Web Developers,65,23
08/2025,2612 Multimedia Specialists and Web Developers,75,46
08/2025,2612 Multimedia Specialists and Web Developers,70,44
08/2025,2612 Multimedia Specialists and Web Developers,80,39
08/2025,2612 Multimedia Specialists and Web Developers,95,19
08/2025,2612 Multimedia Specialists and Web Developers,90,63
08/2025,2612 Multimedia Specialists and Web Developers,85,50
08/2025,2612 Multimedia Specialists and Web Developers,55,4
08/2025,2612 Multimedia Specialists and Web Developers,60,5
08/2025,2612 Multimedia Specialists and Web Developers,50,4
08/2025,2612 Multimedia Specialists and Web Developers,40,1
08/2025,3223 Structural Steel and Welding Trades Workers,65,117
08/2025,3223 Structural Steel and Welding Trades Workers,75,80
08/2025,3223 Structural Steel and Welding Trades Workers,70,114
08/2025,3223 Structural Steel and Welding Trades Workers,80,39
08/2025,3223 Structural Steel and Welding Trades Workers,90,1
08/2025,3223 Structural Steel and Welding Trades Workers,85,15
08/2025,3223 Structural Steel and Welding Trades Workers,55,13
08/2025,3223 Structural Steel and Welding Trades Workers,60,45
08/2025,3223 Structural Steel and Welding Trades Workers,50,7
08/2025,3223 Structural Steel and Welding Trades Workers,40,3
08/2025,3223 Structural Steel and Welding Trades Workers,45,5
08/2025,2349 Other Natural and Physical Science Professionals,65,45
08/2025,2349 Other Natural and Physical Science Professionals,75,41
08/2025,2349 Other Natural and Physical Science Professionals,70,37
08/2025,2349 Other Natural and Physical Science Professionals,80,19
08/2025,2349 Other Natural and Physical Science Professionals,90,6
08/2025,2349 Other Natural and Physical Science Professionals,85,36
