OccGroup,Score,Partner,n
2612 Multimedia Specialists and Web Developers,70,10,47
2612 Multimedia Specialists and Web Developers,80,0,2
2612 Multimedia Specialists and Web Developers,80,5,6
2612 Multimedia Specialists and Web Developers,80,10,44
2612 Multimedia Specialists and Web Developers,95,5,3
2612 Multimedia Specialists and Web Developers,95,10,41
2612 Multimedia Specialists and Web Developers,90,0,3
2612 Multimedia Specialists and Web Developers,90,5,9
2612 Multimedia Specialists and Web Developers,90,10,104
2612 Multimedia Specialists and Web Developers,85,0,1
2612 Multimedia Specialists and Web Developers,85,5,15
2612 Multimedia Specialists and Web Developers,85,10,59
2612 Multimedia Specialists and Web Developers,55,0,3
2612 Multimedia Specialists and Web Developers,55,5,1
2612 Multimedia Specialists and Web Developers,55,10,2
2612 Multimedia Specialists and Web Developers,60,0,2
2612 Multimedia Specialists and Web Developers,60,5,5
2612 Multimedia Specialists and Web Developers,60,10,3
2612 Multimedia Specialists and Web Developers,50,0,2
2612 Multimedia Specialists and Web Developers,50,5,9
2612 Multimedia Specialists and Web Developers,50,10,1
2612 Multimedia Specialists and Web Developers,100,10,8
2612 Multimedia Specialists and Web Developers,40,10,1
3223 Structural Steel and Welding Trades Workers,65,0,22
3223 Structural Steel and Welding Trades Workers,65,5,41
3223 Structural Steel and Welding Trades Workers,65,10,146
3223 Structural Steel and Welding Trades Workers,75,0,9
3223 Structural Steel and Welding Trades Workers,75,5,27
3223 Structural Steel and Welding Trades Workers,75,10,96
3223 Structural Steel and Welding Trades Workers,70,0,20
3223 Structural Steel and Welding Trades Workers,70,5,36
3223 Structural Steel and Welding Trades Workers,70,10,109
3223 Structural Steel and Welding Trades Workers,80,0,2
3223 Structural Steel and Welding Trades Workers,80,5,7
3223 Structural Steel and Welding Trades Workers,80,10,65
3223 Structural Steel and Welding Trades Workers,90,5,1
3223 Structural Steel and Welding Trades Workers,90,10,6
3223 Structural Steel and Welding Trades Workers,85,5,1
3223 Structural Steel and Welding Trades Workers,85,10,9
3223 Structural Steel and Welding Trades Workers,55,0,10
3223 Structural Steel and Welding Trades Workers,55,5,10
3223 Structural Steel and Welding Trades Workers,55,10,22
3223 Structural Steel and Welding Trades Workers,60,0,22
3223 Structural Steel and Welding Trades Workers,60,5,23
3223 Structural Steel and Welding Trades Workers,60,10,42
3223 Structural Steel and Welding Trades Workers,50,0,12
3223 Structural Steel and Welding Trades Workers,50,5,1
3223 Structural Steel and Welding Trades Workers,50,10,4
3223 Structural Steel and Welding Trades Workers,40,0,3
3223 Structural Steel and Welding Trades Workers,45,0,8
3223 Structural Steel and Welding Trades Workers,45,5,2
3223 Structural Steel and Welding Trades Workers,30,0,2
2349 Other Natural and Physical Science Professionals,65,0,18
2349 Other Natural and Physical Science Professionals,65,5,12
2349 Other Natural and Physical Science Professionals,65,10,33
2349 Other Natural and Physical Science Professionals,75,0,3
2349 Other Natural and Physical Science Professionals,75,5,13
2349 Other Natural and Physical Science Professionals,75,10,36
2349 Other Natural and Physical Science Professionals,70,0,5
2349 Other Natural and Physical Science Professionals,70,5,21
2349 Other Natural and Physical Science Professionals,70,10,23
2349 Other Natural and Physical Science Professionals,80,0,2
2349 Other Natural and Physical Science Professionals,80,5,4
2349 Other Natural and Physical Science Professionals,80,10,12
2349 Other Natural and Physical Science Professionals,95,10,3
2349 Other Natural and Physical Science Professionals,90,5,2
2349 Other Natural and Physical Science Professionals,90,10,1
2349 Other Natural and Physical Science Professionals,85,0,1
2349 Other Natural and Physical Science Professionals,85,5,3
2349 Other Natural and Physical Science Professionals,85,10,16
2349 Other Natural and Physical Science Professionals,55,0,1
2349 Other Natural and Physical Science Professionals,55,5,1
2349 Other Natural and Physical Science Professionals,55,10,4
2349 Other Natural and Physical Science Professionals,60,0,4
2349 Other Natural and Physical Science Professionals,60,5,5
2349 Other Natural and Physical Science Professionals,60,10,2
2349 Other Natural and Physical Science Professionals,50,0,1
2349 Other Natural and Physical Science Professionals,50,5,2
2349 Other Natural and Physical Science Professionals,50,10,3
2349 Other Natural and Physical Science Professionals,100,10,3
2349 Other Natural and Physical Science Professionals,105,10,2
2349 Other Natural and Physical Science Professionals,40,5,1
1331 Construction Managers,65,0,156
1331 Construction Managers,65,5,87
1331 Construction Managers,65,10,266
1331 Construction Managers,75,0,45
1331 Construction Managers,75,5,145
1331 Construction Managers,75,10,342
1331 Construction Managers,70,0,71
1331 Construction Managers,70,5,223
1331 Construction Managers,70,10,242
1331 Construction Managers,80,0,15
1331 Construction Managers,80,5,74
1331 Construction Managers,80,10,187
1331 Construction Managers,95,5,1
1331 Construction Managers,95,10,12
1331 Construction Managers,90,10,32
1331 Construction Managers,85,0,2
1331 Construction Managers,85,5,19
1331 Construction Managers,85,10,69
1331 Construction Managers,55,0,52
1331 Construction Managers,55,5,17
1331 Construction Managers,55,10,27
1331 Construction Managers,60,0,30
1331 Construction Managers,60,5,65
1331 Construction Managers,60,10,58
1331 Construction Managers,50,0,9
1331 Construction Managers,50,5,9
1331 Construction Managers,50,10,3
1331 Construction Managers,100,10,1
1331 Construction Managers,40,0,5
1331 Construction Managers,40,5,2
1331 Construction Managers,40,10,1
1331 Construction Managers,45,0,8
1331 Construction Managers,45,5,2
1331 Construction Managers,45,10,2
1331 Construction Managers,35,0,2
2343 Environmental Scientists,65,0,16
2343 Environmental Scientists,65,5,16
2343 Environmental Scientists,65,10,78
2343 Environmental Scientists,75,0,12
2343 Environmental Scientists,75,5,31
2343 Environmental Scientists,75,10,74
2343 Environmental Scientists,70,0,19
2343 Environmental Scientists,70,5,45
2343 Environmental Scientists,70,10,63
2343 Environmental Scientists,80,0,6
2343 Environmental Scientists,80,5,22
2343 Environmental Scientists,80,10,48
2343 Environmental Scientists,95,5,1
2343 Environmental Scientists,95,10,3
2343 Environmental Scientists,90,5,1
2343 Environmental Scientists,90,10,25
2343 Environmental Scientists,85,0,3
2343 Environmental Scientists,85,5,12
2343 Environmental Scientists,85,10,52
2343 Environmental Scientists,55,0,5
2343 Environmental Scientists,55,5,2
2343 Environmental Scientists,55,10,5
2343 Environmental Scientists,60,0,11
2343 Environmental Scientists,60,5,11
2343 Environmental Scientists,60,10,17
2343 Environmental Scientists,50,0,3
2343 Environmental Scientists,100,10,2
2343 Environmental Scientists,40,0,1
2343 Environmental Scientists,40,5,1
2343 Environmental Scientists,45,0,1
2343 Environmental Scientists,45,10,1
2711 Barristers,65,5,1
2711 Barristers,75,10,1
2711 Barristers,70,5,1
2711 Barristers,80,10,4
2711 Barristers,85,10,1
2711 Barristers,55,10,1
3132 Telecommunications Technical Specialists,65,0,35
3132 Telecommunications Technical Specialists,65,5,36
3132 Telecommunications Technical Specialists,65,10,98
3132 Telecommunications Technical Specialists,75,0,11
3132 Telecommunications Technical Specialists,75,5,20
3132 Telecommunications Technical Specialists,75,10,106
3132 Telecommunications Technical Specialists,70,0,14
3132 Telecommunications Technical Specialists,70,5,25
3132 Telecommunications Technical Specialists,70,10,123
3132 Telecommunications Technical Specialists,80,0,1
3132 Telecommunications Technical Specialists,80,5,17
3132 Telecommunications Technical Specialists,80,10,65
3132 Telecommunications Technical Specialists,90,10,32
3132 Telecommunications Technical Specialists,85,5,1
3132 Telecommunications Technical Specialists,85,10,46
3132 Telecommunications Technical Specialists,55,0,20
3132 Telecommunications Technical Specialists,55,5,6
3132 Telecommunications Technical Specialists,55,10,29
3132 Telecommunications Technical Specialists,60,0,19
3132 Telecommunications Technical Specialists,60,5,21
3132 Telecommunications Technical Specialists,60,10,55
3132 Telecommunications Technical Specialists,50,0,12
3132 Telecommunications Technical Specialists,50,5,9
3132 Telecommunications Technical Specialists,50,10,12
3132 Telecommunications Technical Specialists,40,0,3
3132 Telecommunications Technical Specialists,40,5,1
3132 Telecommunications Technical Specialists,45,0,6
3132 Telecommunications Technical Specialists,45,10,2
3132 Telecommunications Technical Specialists,35,0,1
3312 Carpenters and Joiners,65,0,43
3312 Carpenters and Joiners,65,5,100
3312 Carpenters and Joiners,65,10,372
3312 Carpenters and Joiners,75,0,3
3312 Carpenters and Joiners,75,5,20
3312 Carpenters and Joiners,75,10,60
3312 Carpenters and Joiners,70,0,15
3312 Carpenters and Joiners,70,5,58
3312 Carpenters and Joiners,70,10,149
3312 Carpenters and Joiners,80,0,2
3312 Carpenters and Joiners,80,5,4
3312 Carpenters and Joiners,80,10,20
3312 Carpenters and Joiners,90,10,4
3312 Carpenters and Joiners,85,10,6
3312 Carpenters and Joiners,55,0,22
3312 Carpenters and Joiners,55,5,35
3312 Carpenters and Joiners,55,10,64
3312 Carpenters and Joiners,60,0,18
3312 Carpenters and Joiners,60,5,56
3312 Carpenters and Joiners,60,10,168
3312 Carpenters and Joiners,50,0,12
3312 Carpenters and Joiners,50,5,10
3312 Carpenters and Joiners,50,10,8
3312 Carpenters and Joiners,100,5,1
3312 Carpenters and Joiners,40,0,1
3312 Carpenters and Joiners,40,10,2
3312 Carpenters and Joiners,45,0,8
3312 Carpenters and Joiners,45,5,1
3312 Carpenters and Joiners,45,10,2
3312 Carpenters and Joiners,30,0,1
2725 Social Workers,65,0,43
2725 Social Workers,65,5,84
2725 Social Workers,65,10,123
2725 Social Workers,75,0,29
2725 Social Workers,75,5,77
2725 Social Workers,75,10,310
2725 Social Workers,70,0,31
2725 Social Workers,70,5,130
2725 Social Workers,70,10,277
2725 Social Workers,80,0,3
2725 Social Workers,80,5,36
2725 Social Workers,80,10,119
2725 Social Workers,90,10,7
2725 Social Workers,85,5,10
2725 Social Workers,85,10,46
2725 Social Workers,55,0,11
2725 Social Workers,55,5,5
2725 Social Workers,55,10,11
2725 Social Workers,60,0,21
2725 Social Workers,60,5,9
2725 Social Workers,60,10,16
2725 Social Workers,50,0,3
2725 Social Workers,50,5,1
2725 Social Workers,50,10,3
2725 Social Workers,40,0,1
2725 Social Workers,45,0,2
2725 Social Workers,45,5,1
3322 Painting Trades Workers,65,0,53
3322 Painting Trades Workers,65,5,95
3322 Painting Trades Workers,65,10,277
3322 Painting Trades Workers,75,0,13
3322 Painting Trades Workers,75,5,34
3322 Painting Trades Workers,75,10,139
3322 Painting Trades Workers,70,0,44
3322 Painting Trades Workers,70,5,75
3322 Painting Trades Workers,70,10,225
3322 Painting Trades Workers,80,0,4
3322 Painting Trades Workers,80,5,8
3322 Painting Trades Workers,80,10,78
3322 Painting Trades Workers,90,5,1
3322 Painting Trades Workers,90,10,4
3322 Painting Trades Workers,85,10,22
3322 Painting Trades Workers,55,0,32
3322 Painting Trades Workers,55,5,12
3322 Painting Trades Workers,55,10,27
3322 Painting Trades Workers,60,0,20
3322 Painting Trades Workers,60,5,34
3322 Painting Trades Workers,60,10,119
3322 Painting Trades Workers,50,0,17
3322 Painting Trades Workers,50,5,3
3322 Painting Trades Workers,50,10,5
3322 Painting Trades Workers,40,0,5
3322 Painting Trades Workers,45,0,5
3322 Painting Trades Workers,45,5,1
3322 Painting Trades Workers,35,0,1
3423 Electronics Trades Workers,65,0,31
3423 Electronics Trades Workers,65,5,18
3423 Electronics Trades Workers,65,10,61
3423 Electronics Trades Workers,75,0,6
3423 Electronics Trades Workers,75,5,18
3423 Electronics Trades Workers,75,10,39
3423 Electronics Trades Workers,70,0,14
3423 Electronics Trades Workers,70,5,19
3423 Electronics Trades Workers,70,10,52
3423 Electronics Trades Workers,80,0,1
3423 Electronics Trades Workers,80,5,4
3423 Electronics Trades Workers,80,10,15
3423 Electronics Trades Workers,90,5,1
3423 Electronics Trades Workers,85,10,4
3423 Electronics Trades Workers,55,0,25
3423 Electronics Trades Workers,55,5,13
3423 Electronics Trades Workers,55,10,9
3423 Electronics Trades Workers,60,0,17
3423 Electronics Trades Workers,60,5,13
3423 Electronics Trades Workers,60,10,12
3423 Electronics Trades Workers,50,0,4
3423 Electronics Trades Workers,50,5,2
3423 Electronics Trades Workers,45,0,2
3423 Electronics Trades Workers,45,5,2
3423 Electronics Trades Workers,45,10,1
2521 Chiropractors and Osteopaths,65,0,1
2521 Chiropractors and Osteopaths,65,5,2
2521 Chiropractors and Osteopaths,65,10,8
2521 Chiropractors and Osteopaths,75,5,62
2521 Chiropractors and Osteopaths,75,10,18
2521 Chiropractors and Osteopaths,70,0,1
2521 Chiropractors and Osteopaths,70,5,2
2521 Chiropractors and Osteopaths,70,10,20
2521 Chiropractors and Osteopaths,80,5,5
2521 Chiropractors and Osteopaths,80,10,9
2521 Chiropractors and Osteopaths,85,10,5
2521 Chiropractors and Osteopaths,55,10,1
2521 Chiropractors and Osteopaths,60,0,1
2521 Chiropractors and Osteopaths,60,5,1
2521 Chiropractors and Osteopaths,60,10,3
2521 Chiropractors and Osteopaths,50,0,1
2521 Chiropractors and Osteopaths,50,10,1
3941 Cabinetmakers,65,0,4
3941 Cabinetmakers,65,5,8
3941 Cabinetmakers,65,10,32
3941 Cabinetmakers,75,0,3
3941 Cabinetmakers,75,5,6
3941 Cabinetmakers,75,10,14
3941 Cabinetmakers,70,0,1
3941 Cabinetmakers,70,5,12
3941 Cabinetmakers,70,10,33
3941 Cabinetmakers,80,5,1
3941 Cabinetmakers,80,10,6
3941 Cabinetmakers,85,5,1
3941 Cabinetmakers,85,10,4
3941 Cabinetmakers,55,5,2
3941 Cabinetmakers,55,10,3
3941 Cabinetmakers,60,0,3
3941 Cabinetmakers,60,5,1
3941 Cabinetmakers,60,10,9
3941 Cabinetmakers,50,0,3
3941 Cabinetmakers,50,5,2
3941 Cabinetmakers,50,10,3
3941 Cabinetmakers,45,0,1
3941 Cabinetmakers,45,5,1
2243 Economists,65,0,10
2243 Economists,65,5,8
2243 Economists,65,10,22
2243 Economists,75,0,3
2243 Economists,75,5,9
2243 Economists,75,10,19
2243 Economists,70,0,3
2243 Economists,70,5,9
2243 Economists,70,10,20
2243 Economists,80,0,5
2243 Economists,80,5,12
2243 Economists,80,10,23
2243 Economists,90,10,9
2243 Economists,85,5,3
2243 Economists,85,10,15
2243 Economists,55,0,3
2243 Economists,55,5,1
2243 Economists,55,10,2
2243 Economists,60,0,3
2243 Economists,60,5,5
2243 Economists,60,10,5
2243 Economists,100,10,1
2243 Economists,105,10,1
2243 Economists,45,0,1
3311 Bricklayers and Stonemasons,65,0,3
3311 Bricklayers and Stonemasons,65,5,14
3311 Bricklayers and Stonemasons,65,10,59
3311 Bricklayers and Stonemasons,75,5,4
3311 Bricklayers and Stonemasons,75,10,14
3311 Bricklayers and Stonemasons,70,0,9
3311 Bricklayers and Stonemasons,70,5,4
3311 Bricklayers and Stonemasons,70,10,18
3311 Bricklayers and Stonemasons,80,5,2
3311 Bricklayers and Stonemasons,80,10,1
3311 Bricklayers and Stonemasons,85,10,1
3311 Bricklayers and Stonemasons,55,5,9
3311 Bricklayers and Stonemasons,55,10,16
3311 Bricklayers and Stonemasons,60,0,9
3311 Bricklayers and Stonemasons,60,5,9
3311 Bricklayers and Stonemasons,60,10,19
3311 Bricklayers and Stonemasons,50,0,3
3311 Bricklayers and Stonemasons,50,5,3
3311 Bricklayers and Stonemasons,50,10,10
3311 Bricklayers and Stonemasons,40,10,1
3311 Bricklayers and Stonemasons,45,0,2
3311 Bricklayers and Stonemasons,45,10,1
1342 Health and Welfare Services Managers,65,0,3
1342 Health and Welfare Services Managers,65,5,10
1342 Health and Welfare Services Managers,65,10,13
1342 Health and Welfare Services Managers,75,0,2
1342 Health and Welfare Services Managers,75,10,8
1342 Health and Welfare Services Managers,70,0,3
1342 Health and Welfare Services Managers,70,5,8
1342 Health and Welfare Services Managers,70,10,8
1342 Health and Welfare Services Managers,80,10,9
1342 Health and Welfare Services Managers,55,0,1
1342 Health and Welfare Services Managers,55,5,2
1342 Health and Welfare Services Managers,55,10,3
1342 Health and Welfare Services Managers,60,0,6
1342 Health and Welfare Services Managers,60,5,4
1342 Health and Welfare Services Managers,60,10,4
1342 Health and Welfare Services Managers,50,0,4
1342 Health and Welfare Services Managers,50,5,3
1342 Health and Welfare Services Managers,50,10,1
2539 Other Medical Practitioners,65,0,14
2539 Other Medical Practitioners,65,5,36
2539 Other Medical Practitioners,65,10,51
2539 Other Medical Practitioners,75,0,8
2539 Other Medical Practitioners,75,5,59
2539 Other Medical Practitioners,75,10,112
2539 Other Medical Practitioners,70,0,15
2539 Other Medical Practitioners,70,5,36
2539 Other Medical Practitioners,70,10,90
2539 Other Medical Practitioners,80,0,6
2539 Other Medical Practitioners,80,5,17
2539 Other Medical Practitioners,80,10,85
2539 Other Medical Practitioners,90,5,2
2539 Other Medical Practitioners,90,10,21
2539 Other Medical Practitioners,85,5,8
2539 Other Medical Practitioners,85,10,54
2539 Other Medical Practitioners,55,0,2
2539 Other Medical Practitioners,55,5,6
2539 Other Medical Practitioners,55,10,3
2539 Other Medical Practitioners,60,0,5
2539 Other Medical Practitioners,60,5,10
2539 Other Medical Practitioners,60,10,11
2539 Other Medical Practitioners,50,0,1
2539 Other Medical Practitioners,50,5,2
2539 Other Medical Practitioners,50,10,3
3411 Electricians,65,0,9
3411 Electricians,65,5,42
3411 Electricians,65,10,54
3411 Electricians,75,0,1
3411 Electricians,75,5,6
3411 Electricians,75,10,9
3411 Electricians,70,0,2
3411 Electricians,70,5,5
3411 Electricians,70,10,31
3411 Electricians,80,5,1
3411 Electricians,80,10,5
3411 Electricians,85,0,1
3411 Electricians,55,0,8
3411 Electricians,55,5,16
3411 Electricians,55,10,13
3411 Electricians,60,0,14
3411 Electricians,60,5,23
3411 Electricians,60,10,27
3411 Electricians,50,0,20
3411 Electricians,50,5,6
3411 Electricians,50,10,15
3411 Electricians,40,0,1
3411 Electricians,45,0,2
3411 Electricians,45,5,2
3411 Electricians,45,10,3
3411 Electricians,35,0,1
3411 Electricians,35,10,1
3411 Electricians,20,0,1
2525 Physiotherapists,65,0,19
2525 Physiotherapists,65,5,27
2525 Physiotherapists,65,10,67
2525 Physiotherapists,75,0,8
2525 Physiotherapists,75,5,21
2525 Physiotherapists,75,10,154
2525 Physiotherapists,70,0,11
2525 Physiotherapists,70,5,50
2525 Physiotherapists,70,10,107
2525 Physiotherapists,80,0,3
2525 Physiotherapists,80,5,14
2525 Physiotherapists,80,10,60
2525 Physiotherapists,95,10,2
2525 Physiotherapists,90,10,6
2525 Physiotherapists,85,0,1
2525 Physiotherapists,85,5,4
2525 Physiotherapists,85,10,28
2525 Physiotherapists,55,0,6
2525 Physiotherapists,55,5,12
2525 Physiotherapists,55,10,8
2525 Physiotherapists,60,0,4
2525 Physiotherapists,60,5,6
2525 Physiotherapists,60,10,11
2525 Physiotherapists,50,0,1
2525 Physiotherapists,50,5,1
2525 Physiotherapists,50,10,5
2525 Physiotherapists,40,0,1
2525 Physiotherapists,40,10,1
2525 Physiotherapists,45,5,1
2525 Physiotherapists,45,10,1
2512 Medical Imaging Professionals,65,0,14
2512 Medical Imaging Professionals,65,5,7
2512 Medical Imaging Professionals,65,10,13
2512 Medical Imaging Professionals,75,0,1
2512 Medical Imaging Professionals,75,5,15
2512 Medical Imaging Professionals,75,10,63
2512 Medical Imaging Professionals,70,0,3
2512 Medical Imaging Professionals,70,5,24
2512 Medical Imaging Professionals,70,10,30
2512 Medical Imaging Professionals,80,5,1
2512 Medical Imaging Professionals,80,10,14
2512 Medical Imaging Professionals,90,10,2
2512 Medical Imaging Professionals,85,10,4
2512 Medical Imaging Professionals,55,0,2
2512 Medical Imaging Professionals,55,5,2
2512 Medical Imaging Professionals,55,10,1
2512 Medical Imaging Professionals,60,5,5
"4523 Sports Coaches, Instructors and Officials",65,0,1
"4523 Sports Coaches, Instructors and Officials",65,10,2
"4523 Sports Coaches, Instructors and Officials",75,0,1
"4523 Sports Coaches, Instructors and Officials",75,10,4
"4523 Sports Coaches, Instructors and Officials",70,10,3
"4523 Sports Coaches, Instructors and Officials",80,10,2
"4523 Sports Coaches, Instructors and Officials",85,10,2
"4523 Sports Coaches, Instructors and Officials",55,10,1
"4523 Sports Coaches, Instructors and Officials",60,10,2
3222 Sheetmetal Trades Workers,65,0,1
3222 Sheetmetal Trades Workers,65,5,1
3222 Sheetmetal Trades Workers,65,10,2
3222 Sheetmetal Trades Workers,75,5,1
3222 Sheetmetal Trades Workers,75,10,2
3222 Sheetmetal Trades Workers,70,10,2
3222 Sheetmetal Trades Workers,80,5,1
3222 Sheetmetal Trades Workers,80,10,1
3222 Sheetmetal Trades Workers,85,10,1
3222 Sheetmetal Trades Workers,60,5,1
2527 Speech Professionals and Audiologists,65,0,9
2527 Speech Professionals and Audiologists,65,5,11
2527 Speech Professionals and Audiologists,65,10,41
2527 Speech Professionals and Audiologists,75,0,4
2527 Speech Professionals and Audiologists,75,5,12
2527 Speech Professionals and Audiologists,75,10,53
2527 Speech Professionals and Audiologists,70,0,3
2527 Speech Professionals and Audiologists,70,5,11
2527 Speech Professionals and Audiologists,70,10,51
2527 Speech Professionals and Audiologists,80,5,7
2527 Speech Professionals and Audiologists,80,10,25
2527 Speech Professionals and Audiologists,90,10,2
2527 Speech Professionals and Audiologists,85,10,16
2527 Speech Professionals and Audiologists,55,0,6
2527 Speech Professionals and Audiologists,55,5,3
2527 Speech Professionals and Audiologists,55,10,2
2527 Speech Professionals and Audiologists,60,0,4
2527 Speech Professionals and Audiologists,60,5,6
2527 Speech Professionals and Audiologists,60,10,8
2527 Speech Professionals and Audiologists,50,0,1
2527 Speech Professionals and Audiologists,50,5,3
2527 Speech Professionals and Audiologists,100,10,1
2527 Speech Professionals and Audiologists,45,0,1
2524 Occupational Therapists,65,0,23
2524 Occupational Therapists,65,5,18
2524 Occupational Therapists,65,10,41
2524 Occupational Therapists,75,0,3
2524 Occupational Therapists,75,5,29
2524 Occupational Therapists,75,10,142
2524 Occupational Therapists,70,0,20
2524 Occupational Therapists,70,5,35
2524 Occupational Therapists,70,10,98
2524 Occupational Therapists,80,5,5
2524 Occupational Therapists,80,10,40
2524 Occupational Therapists,95,10,1
2524 Occupational Therapists,90,10,2
2524 Occupational Therapists,85,10,15
2524 Occupational Therapists,55,0,10
2524 Occupational Therapists,55,5,2
2524 Occupational Therapists,55,10,1
2524 Occupational Therapists,60,0,5
2524 Occupational Therapists,60,5,6
2524 Occupational Therapists,60,10,9
2524 Occupational Therapists,50,0,2
2524 Occupational Therapists,50,5,2
2524 Occupational Therapists,50,10,1
2524 Occupational Therapists,40,0,1
2524 Occupational Therapists,45,5,1
2524 Occupational Therapists,45,10,1
2524 Occupational Therapists,115,10,3
2519 Other Health Diagnostic and Promotion Professionals,65,5,2
2519 Other Health Diagnostic and Promotion Professionals,65,10,1
2519 Other Health Diagnostic and Promotion Professionals,75,5,1
2519 Other Health Diagnostic and Promotion Professionals,75,10,4
2519 Other Health Diagnostic and Promotion Professionals,70,5,1
2519 Other Health Diagnostic and Promotion Professionals,70,10,3
2519 Other Health Diagnostic and Promotion Professionals,80,10,1
2519 Other Health Diagnostic and Promotion Professionals,55,10,1
3421 Airconditioning and Refrigeration Mechanics,65,0,3
3421 Airconditioning and Refrigeration Mechanics,65,5,5
3421 Airconditioning and Refrigeration Mechanics,65,10,10
3421 Airconditioning and Refrigeration Mechanics,75,5,1
3421 Airconditioning and Refrigeration Mechanics,75,10,4
3421 Airconditioning and Refrigeration Mechanics,70,0,1
3421 Airconditioning and Refrigeration Mechanics,70,5,3
3421 Airconditioning and Refrigeration Mechanics,70,10,7
3421 Airconditioning and Refrigeration Mechanics,80,10,1
3421 Airconditioning and Refrigeration Mechanics,55,0,3
3421 Airconditioning and Refrigeration Mechanics,55,5,2
3421 Airconditioning and Refrigeration Mechanics,55,10,1
3421 Airconditioning and Refrigeration Mechanics,60,0,1
3421 Airconditioning and Refrigeration Mechanics,60,10,5
3421 Airconditioning and Refrigeration Mechanics,50,0,1
3421 Airconditioning and Refrigeration Mechanics,50,10,2
3421 Airconditioning and Refrigeration Mechanics,45,0,1
3421 Airconditioning and Refrigeration Mechanics,35,0,1
2346 Medical Laboratory Scientists,65,0,44
2346 Medical Laboratory Scientists,65,5,19
2346 Medical Laboratory Scientists,65,10,36
2346 Medical Laboratory Scientists,75,0,14
2346 Medical Laboratory Scientists,75,5,35
2346 Medical Laboratory Scientists,75,10,151
2346 Medical Laboratory Scientists,70,0,18
2346 Medical Laboratory Scientists,70,5,54
2346 Medical Laboratory Scientists,70,10,68
2346 Medical Laboratory Scientists,80,0,3
2346 Medical Laboratory Scientists,80,5,24
2346 Medical Laboratory Scientists,80,10,66
2346 Medical Laboratory Scientists,95,10,1
2346 Medical Laboratory Scientists,90,0,1
2346 Medical Laboratory Scientists,90,10,10
2346 Medical Laboratory Scientists,85,5,4
2346 Medical Laboratory Scientists,85,10,27
2346 Medical Laboratory Scientists,55,0,4
2346 Medical Laboratory Scientists,55,5,2
2346 Medical Laboratory Scientists,55,10,1
2346 Medical Laboratory Scientists,60,0,9
2346 Medical Laboratory Scientists,60,5,5
2346 Medical Laboratory Scientists,60,10,6
2346 Medical Laboratory Scientists,50,0,1
2346 Medical Laboratory Scientists,100,10,1
2346 Medical Laboratory Scientists,45,0,3
2415 Special Education Teachers,65,0,3
2415 Special Education Teachers,65,5,5
2415 Special Education Teachers,65,10,21
2415 Special Education Teachers,75,5,3
2415 Special Education Teachers,75,10,20
2415 Special Education Teachers,70,0,1
2415 Special Education Teachers,70,5,7
2415 Special Education Teachers,70,10,12
2415 Special Education Teachers,80,0,1
2415 Special Education Teachers,80,5,2
2415 Special Education Teachers,80,10,4
2415 Special Education Teachers,55,5,1
2415 Special Education Teachers,55,10,2
2415 Special Education Teachers,60,0,2
2415 Special Education Teachers,60,5,6
2415 Special Education Teachers,60,10,1
2415 Special Education Teachers,30,0,1
2723 Psychologists,65,0,12
2723 Psychologists,65,5,12
2723 Psychologists,65,10,19
2723 Psychologists,75,0,3
2723 Psychologists,75,5,14
2723 Psychologists,75,10,30
2723 Psychologists,70,0,10
2723 Psychologists,70,5,7
2723 Psychologists,70,10,35
2723 Psychologists,80,0,1
2723 Psychologists,80,5,7
2723 Psychologists,80,10,15
2723 Psychologists,95,10,1
2723 Psychologists,90,5,2
2723 Psychologists,90,10,1
2723 Psychologists,85,5,1
2723 Psychologists,85,10,11
2723 Psychologists,55,0,4
2723 Psychologists,55,10,2
2723 Psychologists,60,0,5
2723 Psychologists,60,10,9
2723 Psychologists,50,0,1
2723 Psychologists,50,5,3
2723 Psychologists,50,10,2
2723 Psychologists,105,10,1
2541 Midwives,65,0,1
2541 Midwives,65,5,15
2541 Midwives,65,10,7
2541 Midwives,75,0,3
2541 Midwives,75,5,11
2541 Midwives,75,10,15
2541 Midwives,70,0,2
2541 Midwives,70,5,12
2541 Midwives,70,10,18
2541 Midwives,80,0,1
2541 Midwives,80,5,2
2541 Midwives,80,10,10
2541 Midwives,90,10,1
2541 Midwives,85,10,1
2541 Midwives,60,5,2
2541 Midwives,60,10,5
2541 Midwives,50,5,1
2541 Midwives,40,10,1
2541 Midwives,45,0,1
3341 Plumbers,65,0,5
3341 Plumbers,65,5,9
3341 Plumbers,65,10,17
3341 Plumbers,75,10,5
3341 Plumbers,70,0,3
3341 Plumbers,70,5,4
3341 Plumbers,70,10,4
3341 Plumbers,80,10,6
3341 Plumbers,95,10,1
3341 Plumbers,85,10,1
3341 Plumbers,55,0,2
3341 Plumbers,55,5,5
3341 Plumbers,55,10,2
3341 Plumbers,60,0,2
3341 Plumbers,60,5,8
3341 Plumbers,60,10,8
3341 Plumbers,50,0,1
3341 Plumbers,50,5,1
3341 Plumbers,50,10,1
3341 Plumbers,40,0,1
3341 Plumbers,40,5,1
3341 Plumbers,45,0,1
3341 Plumbers,45,5,4
3241 Panelbeaters,65,5,5
3241 Panelbeaters,65,10,4
3241 Panelbeaters,70,10,3
3241 Panelbeaters,80,10,1
3241 Panelbeaters,85,10,1
3241 Panelbeaters,55,5,1
3241 Panelbeaters,55,10,1
